po_id,supplier_id,product_id,order_qty,unit_price,order_date,expected_date,actual_delivery_date,defect_units,on_time
PO00082,S001,P008,199,444.83,2025-01-06,2025-01-13,2025-01-13,3,True
PO00083,S001,P008,220,411.15,2025-01-29,2025-02-05,2025-02-05,4,True
PO00084,S001,P008,187,424.03,2025-03-10,2025-03-17,2025-03-17,3,True
PO00085,S001,P008,195,416.07,2025-04-07,2025-04-14,2025-04-13,6,True
PO00086,S001,P008,272,437.82,2025-05-12,2025-05-19,2025-05-18,5,True
PO00087,S001,P008,273,431.12,2025-06-04,2025-06-11,2025-06-10,2,True
PO00088,S001,P008,232,429.79,2025-06-26,2025-07-03,2025-07-03,3,True
PO00089,S001,P008,205,416.5,2025-07-24,2025-07-31,2025-07-29,6,True
PO00090,S001,P008,237,427.9,2025-08-28,2025-09-04,2025-09-02,3,True
PO00091,S001,P008,273,441.84,2025-09-23,2025-09-30,2025-09-30,8,True
PO00092,S001,P008,276,416.71,2025-11-04,2025-11-11,2025-11-11,3,True
PO00093,S001,P008,248,435.73,2025-11-25,2025-12-02,2025-11-30,4,True
PO00094,S012,P009,237,622.26,2025-01-29,2025-02-12,2025-02-12,7,True
PO00095,S012,P009,216,643.79,2025-02-24,2025-03-10,2025-03-08,10,True
PO00096,S012,P009,207,627.7,2025-04-01,2025-04-15,2025-04-13,16,True
PO00097,S012,P009,180,646.18,2025-05-13,2025-05-27,2025-05-27,4,True
PO00098,S012,P009,143,619.23,2025-06-12,2025-06-26,2025-06-24,4,True
PO00099,S012,P009,150,647.57,2025-07-21,2025-08-04,2025-08-11,4,False
PO00100,S012,P009,229,636.02,2025-08-19,2025-09-02,2025-09-01,9,True
PO00101,S012,P009,172,607.49,2025-09-25,2025-10-09,2025-10-16,7,False
PO00102,S012,P009,193,638.96,2025-11-05,2025-11-19,2025-11-19,7,True
PO00103,S012,P009,230,620.47,2025-11-24,2025-12-08,2025-12-06,6,True
PO00104,S003,P010,129,440.46,2025-01-09,2025-01-19,2025-01-19,2,True
PO00105,S003,P010,96,451.04,2025-02-20,2025-03-02,2025-03-07,0,False
PO00106,S003,P010,95,464.68,2025-03-11,2025-03-21,2025-03-21,1,True
PO00107,S003,P010,102,449.7,2025-04-01,2025-04-11,2025-04-11,1,True
PO00108,S003,P010,104,464.23,2025-05-08,2025-05-18,2025-05-17,1,True
PO00109,S003,P010,111,473.07,2025-06-05,2025-06-15,2025-06-14,2,True
PO00110,S003,P010,95,448.33,2025-06-30,2025-07-10,2025-07-10,2,True
PO00111,S003,P010,68,439.6,2025-08-12,2025-08-22,2025-08-21,0,True
PO00112,S003,P010,77,464.2,2025-09-16,2025-09-26,2025-09-24,1,True
PO00113,S003,P010,85,440.05,2025-10-29,2025-11-08,2025-11-07,1,True
PO00114,S003,P010,66,454.45,2025-11-25,2025-12-05,2025-12-04,1,True
PO00115,S004,P011,382,2274.08,2025-02-03,2025-02-10,2025-02-09,4,True
PO00116,S004,P011,494,2142.83,2025-03-20,2025-03-27,2025-03-25,3,True
PO00117,S004,P011,326,2220.02,2025-04-22,2025-04-29,2025-04-27,4,True
PO00118,S004,P011,401,2348.81,2025-05-19,2025-05-26,2025-05-26,3,True
PO00119,S004,P011,358,2205.45,2025-06-09,2025-06-16,2025-06-14,4,True
PO00120,S004,P011,596,2162.34,2025-07-10,2025-07-17,2025-07-16,6,True
PO00121,S004,P011,562,2312.3,2025-08-13,2025-08-20,2025-08-19,5,True
PO00122,S004,P011,523,2203.2,2025-09-03,2025-09-10,2025-09-08,3,True
PO00123,S004,P011,326,2270.14,2025-10-14,2025-10-21,2025-10-21,4,True
PO00124,S004,P011,597,2363.66,2025-11-06,2025-11-13,2025-11-13,5,True
PO00125,S004,P011,389,2270.99,2025-12-11,2025-12-18,2025-12-17,7,True
PO00126,S011,P012,188,1645.36,2025-01-16,2025-01-28,2025-01-28,2,True
PO00127,S011,P012,140,1590.6,2025-02-12,2025-02-24,2025-02-25,10,False
PO00128,S011,P012,178,1569.67,2025-03-04,2025-03-16,2025-03-15,6,True
PO00129,S011,P012,161,1642.52,2025-03-31,2025-04-12,2025-04-12,7,True
PO00130,S011,P012,222,1534.56,2025-05-07,2025-05-19,2025-05-18,11,True
PO00131,S011,P012,203,1521.04,2025-06-11,2025-06-23,2025-06-23,14,True
PO00132,S011,P012,242,1592.87,2025-07-08,2025-07-20,2025-07-19,7,True
PO00133,S011,P012,145,1589.91,2025-08-18,2025-08-30,2025-08-29,8,True
PO00134,S011,P012,242,1525.33,2025-09-25,2025-10-07,2025-10-06,12,True
PO00135,S011,P012,152,1625.81,2025-10-29,2025-11-10,2025-11-08,7,True
PO00136,S011,P012,231,1570.53,2025-12-01,2025-12-13,2025-12-18,10,False
PO00137,S003,P013,299,1405.71,2025-02-04,2025-02-14,2025-02-13,6,True
PO00138,S003,P013,356,1461.29,2025-03-12,2025-03-22,2025-03-21,7,True
PO00139,S003,P013,306,1432.82,2025-04-09,2025-04-19,2025-04-18,5,True
PO00140,S003,P013,482,1453.5,2025-04-30,2025-05-10,2025-05-08,8,True
PO00141,S003,P013,299,1523.64,2025-05-22,2025-06-01,2025-06-04,6,False
PO00142,S003,P013,459,1525.75,2025-06-25,2025-07-05,2025-07-03,8,True
PO00143,S003,P013,349,1515.05,2025-07-22,2025-08-01,2025-07-31,6,True
PO00144,S003,P013,425,1475.5,2025-08-11,2025-08-21,2025-08-19,6,True
PO00145,S003,P013,277,1500.63,2025-09-03,2025-09-13,2025-09-11,8,True
PO00146,S003,P013,412,1419.31,2025-10-06,2025-10-16,2025-10-15,9,True
PO00147,S003,P013,332,1453.11,2025-11-04,2025-11-14,2025-11-14,8,True
PO00148,S003,P013,280,1528.71,2025-11-26,2025-12-06,2025-12-05,4,True
PO00149,S003,P013,332,1409.33,2025-12-16,2025-12-26,2025-12-26,7,True
PO00150,S005,P014,150,179.77,2025-02-04,2025-02-11,2025-02-10,5,True
PO00151,S005,P014,177,174.51,2025-03-17,2025-03-24,2025-03-23,5,True
PO00152,S005,P014,109,184.48,2025-04-28,2025-05-05,2025-05-04,2,True
PO00153,S005,P014,159,185.84,2025-06-11,2025-06-18,2025-06-16,1,True
PO00154,S005,P014,168,190.39,2025-07-03,2025-07-10,2025-07-08,4,True
PO00155,S005,P014,152,187.59,2025-08-11,2025-08-18,2025-08-18,2,True
PO00156,S005,P014,173,184.86,2025-09-23,2025-09-30,2025-10-03,4,False
PO00157,S005,P014,123,189.31,2025-10-30,2025-11-06,2025-11-06,3,True
PO00158,S005,P014,137,180.01,2025-12-04,2025-12-11,2025-12-09,4,True
PO00159,S011,P015,547,393.76,2025-01-15,2025-01-27,2025-01-27,21,True
PO00160,S011,P015,372,385.66,2025-02-24,2025-03-08,2025-03-08,17,True
PO00161,S011,P015,564,395.34,2025-04-10,2025-04-22,2025-04-20,29,True
PO00162,S011,P015,631,397.03,2025-05-22,2025-06-03,2025-06-01,24,True
PO00163,S011,P015,408,400.12,2025-07-02,2025-07-14,2025-07-12,17,True
PO00164,S011,P015,461,377.62,2025-08-11,2025-08-23,2025-08-22,15,True
PO00165,S011,P015,372,378.06,2025-09-23,2025-10-05,2025-10-04,28,True
PO00166,S011,P015,369,382.34,2025-11-05,2025-11-17,2025-11-17,11,True
PO00167,S011,P015,399,394.68,2025-12-01,2025-12-13,2025-12-13,24,True
PO00168,S006,P016,1712,2273.15,2025-02-06,2025-02-14,2025-02-14,23,True
PO00169,S006,P016,1815,2338.79,2025-03-13,2025-03-21,2025-03-20,41,True
PO00170,S006,P016,1248,2330.94,2025-04-22,2025-04-30,2025-04-28,30,True
PO00171,S006,P016,1012,2269.08,2025-05-12,2025-05-20,2025-05-19,13,True
PO00172,S006,P016,1271,2277.41,2025-06-03,2025-06-11,2025-06-11,25,True
PO00173,S006,P016,1104,2243.84,2025-07-17,2025-07-25,2025-07-25,20,True
PO00174,S006,P016,1678,2239.4,2025-08-12,2025-08-20,2025-08-19,34,True
PO00175,S006,P016,926,2370.94,2025-09-09,2025-09-17,2025-09-17,24,True
PO00176,S006,P016,989,2352.59,2025-10-23,2025-10-31,2025-11-03,23,False
PO00177,S006,P016,1760,2348.19,2025-12-04,2025-12-12,2025-12-22,34,False
PO00178,S008,P017,618,680.56,2025-02-06,2025-02-15,2025-02-14,14,True
PO00179,S008,P017,552,699.87,2025-03-17,2025-03-26,2025-03-26,17,True
PO00180,S008,P017,700,714.09,2025-04-30,2025-05-09,2025-05-07,22,True
PO00181,S008,P017,510,715.93,2025-05-22,2025-05-31,2025-06-02,21,False
PO00182,S008,P017,844,670.95,2025-06-26,2025-07-05,2025-07-05,33,True
PO00183,S008,P017,803,686.63,2025-08-04,2025-08-13,2025-08-13,7,True
PO00184,S008,P017,656,700.64,2025-08-27,2025-09-05,2025-09-03,11,True
PO00185,S008,P017,576,667.23,2025-10-08,2025-10-17,2025-10-16,11,True
PO00186,S008,P017,705,704.85,2025-11-12,2025-11-21,2025-11-20,16,True
PO00187,S008,P017,503,670.14,2025-12-15,2025-12-24,2025-12-22,12,True
PO00188,S007,P018,261,1397.63,2025-01-21,2025-01-27,2025-01-26,3,True
PO00189,S007,P018,162,1461.15,2025-02-11,2025-02-17,2025-02-17,2,True
PO00190,S007,P018,209,1512.97,2025-03-12,2025-03-18,2025-03-16,2,True
PO00191,S007,P018,224,1516.25,2025-04-02,2025-04-08,2025-04-11,2,False
PO00192,S007,P018,234,1502.19,2025-05-15,2025-05-21,2025-05-19,1,True
PO00193,S007,P018,148,1434.38,2025-06-10,2025-06-16,2025-06-15,1,True
PO00194,S007,P018,208,1465.5,2025-06-30,2025-07-06,2025-07-05,3,True
PO00195,S007,P018,207,1416.86,2025-07-31,2025-08-06,2025-08-05,3,True
PO00196,S007,P018,194,1441.91,2025-09-08,2025-09-14,2025-09-13,2,True
PO00197,S007,P018,190,1519.56,2025-09-29,2025-10-05,2025-10-05,1,True
PO00198,S007,P018,177,1481.36,2025-11-05,2025-11-11,2025-11-09,2,True
PO00199,S007,P018,249,1471.92,2025-12-16,2025-12-22,2025-12-22,4,True
PO00200,S001,P019,139,209.11,2025-01-20,2025-01-27,2025-01-25,1,True
PO00201,S001,P019,177,211.19,2025-02-13,2025-02-20,2025-02-20,1,True
PO00202,S001,P019,228,225.19,2025-03-03,2025-03-10,2025-03-10,5,True
PO00203,S001,P019,155,221.29,2025-03-24,2025-03-31,2025-03-31,3,True
PO00204,S001,P019,178,221.38,2025-04-21,2025-04-28,2025-04-27,3,True
PO00205,S001,P019,244,222.07,2025-05-15,2025-05-22,2025-05-27,6,False
PO00206,S001,P019,176,208.35,2025-06-18,2025-06-25,2025-06-23,4,True
PO00207,S001,P019,269,212.75,2025-07-30,2025-08-06,2025-08-11,2,False
PO00208,S001,P019,222,210.87,2025-09-08,2025-09-15,2025-09-13,4,True
PO00209,S001,P019,168,221.0,2025-10-20,2025-10-27,2025-10-26,4,True
PO00210,S001,P019,147,222.84,2025-12-03,2025-12-10,2025-12-08,4,True
PO00211,S009,P020,270,1368.5,2025-01-09,2025-01-17,2025-01-17,5,True
PO00212,S009,P020,514,1445.52,2025-02-19,2025-02-27,2025-02-26,17,True
PO00213,S009,P020,480,1475.76,2025-04-03,2025-04-11,2025-04-11,14,True
PO00214,S009,P020,490,1432.24,2025-04-28,2025-05-06,2025-05-06,3,True
PO00215,S009,P020,284,1506.12,2025-06-04,2025-06-12,2025-06-11,9,True
PO00216,S009,P020,291,1429.02,2025-06-25,2025-07-03,2025-07-02,3,True
PO00217,S009,P020,531,1457.87,2025-07-29,2025-08-06,2025-08-04,16,True
PO00218,S009,P020,455,1432.87,2025-09-04,2025-09-12,2025-09-12,14,True
PO00219,S009,P020,276,1506.03,2025-10-14,2025-10-22,2025-10-20,2,True
PO00220,S009,P020,443,1434.76,2025-11-13,2025-11-21,2025-11-21,12,True
PO00221,S009,P020,361,1466.52,2025-12-22,2025-12-30,2025-12-28,12,True
PO00222,S008,P021,201,76.02,2025-01-07,2025-01-16,2025-01-16,6,True
PO00223,S008,P021,229,72.74,2025-02-04,2025-02-13,2025-02-14,6,False
PO00224,S008,P021,138,74.29,2025-02-27,2025-03-08,2025-03-18,2,False
PO00225,S008,P021,251,75.16,2025-03-24,2025-04-02,2025-03-31,7,True
PO00226,S008,P021,140,75.13,2025-04-17,2025-04-26,2025-04-26,5,True
PO00227,S008,P021,161,75.04,2025-05-08,2025-05-17,2025-05-17,4,True
PO00228,S008,P021,221,71.54,2025-06-18,2025-06-27,2025-06-27,2,True
PO00229,S008,P021,232,73.5,2025-07-16,2025-07-25,2025-07-23,7,True
PO00230,S008,P021,231,70.4,2025-08-18,2025-08-27,2025-08-25,3,True
PO00231,S008,P021,137,69.91,2025-09-23,2025-10-02,2025-10-02,5,True
PO00232,S008,P021,142,69.23,2025-11-04,2025-11-13,2025-11-12,4,True
PO00233,S008,P021,223,70.68,2025-11-26,2025-12-05,2025-12-04,7,True
PO00234,S008,P021,212,69.45,2026-01-01,2026-01-10,2026-01-08,8,True
PO00235,S006,P022,1289,2095.01,2025-01-27,2025-02-04,2025-02-03,18,True
PO00236,S006,P022,1891,2230.42,2025-02-25,2025-03-05,2025-03-05,25,True
PO00237,S006,P022,1156,2105.7,2025-03-27,2025-04-04,2025-04-04,26,True
PO00238,S006,P022,1433,2129.21,2025-04-15,2025-04-23,2025-04-22,41,True
PO00239,S006,P022,1157,2149.41,2025-05-05,2025-05-13,2025-05-12,8,True
PO00240,S006,P022,1842,2132.77,2025-06-16,2025-06-24,2025-06-22,26,True
PO00241,S006,P022,1813,2253.01,2025-07-10,2025-07-18,2025-07-16,38,True
PO00242,S006,P022,1816,2144.71,2025-08-14,2025-08-22,2025-08-22,38,True
PO00243,S006,P022,1663,2285.74,2025-09-03,2025-09-11,2025-09-09,33,True
PO00244,S006,P022,1420,2290.28,2025-10-14,2025-10-22,2025-10-22,28,True
PO00245,S006,P022,1127,2176.32,2025-11-11,2025-11-19,2025-11-27,6,False
PO00246,S006,P022,1150,2122.04,2025-12-23,2025-12-31,2025-12-30,21,True
PO00247,S005,P023,568,293.8,2025-01-21,2025-01-28,2025-01-27,19,True
PO00248,S005,P023,451,312.74,2025-02-25,2025-03-04,2025-03-14,11,False
PO00249,S005,P023,580,318.85,2025-03-25,2025-04-01,2025-04-01,7,True
PO00250,S005,P023,556,315.11,2025-05-08,2025-05-15,2025-05-15,13,True
PO00251,S005,P023,737,306.58,2025-06-04,2025-06-11,2025-06-09,8,True
PO00252,S005,P023,405,302.9,2025-06-30,2025-07-07,2025-07-05,14,True
PO00253,S005,P023,705,309.76,2025-07-24,2025-07-31,2025-07-30,4,True
PO00254,S005,P023,607,288.98,2025-08-14,2025-08-21,2025-08-19,15,True
PO00255,S005,P023,483,318.95,2025-09-23,2025-09-30,2025-09-29,17,True
PO00256,S005,P023,664,314.66,2025-10-16,2025-10-23,2025-10-21,21,True
PO00257,S005,P023,730,300.91,2025-11-06,2025-11-13,2025-11-11,16,True
PO00258,S005,P023,725,290.75,2025-12-11,2025-12-18,2025-12-16,25,True
PO00259,S011,P024,361,2163.71,2025-02-03,2025-02-15,2025-02-14,17,True
PO00260,S011,P024,369,2044.39,2025-03-03,2025-03-15,2025-03-14,17,True
PO00261,S011,P024,312,2041.4,2025-04-07,2025-04-19,2025-04-18,4,True
PO00262,S011,P024,227,2184.43,2025-05-13,2025-05-25,2025-05-25,10,True
PO00263,S011,P024,327,2171.53,2025-06-10,2025-06-22,2025-06-26,13,False
PO00264,S011,P024,320,2123.15,2025-07-08,2025-07-20,2025-07-19,14,True
PO00265,S011,P024,316,2145.35,2025-07-28,2025-08-09,2025-08-08,14,True
PO00266,S011,P024,388,2225.11,2025-08-21,2025-09-02,2025-09-02,12,True
PO00267,S011,P024,385,2233.97,2025-10-01,2025-10-13,2025-10-13,21,True
PO00268,S011,P024,231,2116.25,2025-10-21,2025-11-02,2025-11-10,1,False
PO00269,S011,P024,236,2091.7,2025-11-19,2025-12-01,2025-12-03,9,False
PO00270,S011,P024,323,2166.87,2025-12-18,2025-12-30,2025-12-28,12,True
PO00271,S001,P025,43,1634.24,2025-01-28,2025-02-04,2025-02-03,0,True
PO00272,S001,P025,55,1614.09,2025-03-04,2025-03-11,2025-03-09,0,True
PO00273,S001,P025,49,1582.95,2025-04-10,2025-04-17,2025-04-17,0,True
PO00274,S001,P025,56,1579.76,2025-05-22,2025-05-29,2025-05-27,1,True
PO00275,S001,P025,53,1538.01,2025-06-24,2025-07-01,2025-06-30,0,True
PO00276,S001,P025,48,1556.29,2025-07-30,2025-08-06,2025-08-04,0,True
PO00277,S001,P025,34,1549.22,2025-09-02,2025-09-09,2025-09-12,0,False
PO00278,S001,P025,35,1621.0,2025-10-07,2025-10-14,2025-10-13,0,True
PO00279,S001,P025,41,1617.35,2025-10-29,2025-11-05,2025-11-08,0,False
PO00280,S001,P025,42,1610.84,2025-11-26,2025-12-03,2025-12-01,0,True
PO00281,S001,P025,30,1649.35,2025-12-25,2026-01-01,2026-01-04,0,False
PO00282,S002,P026,1365,1445.74,2025-01-23,2025-01-29,2025-01-29,37,True
PO00283,S002,P026,1211,1339.13,2025-03-05,2025-03-11,2025-03-11,28,True
PO00284,S002,P026,1507,1396.11,2025-03-26,2025-04-01,2025-04-01,24,True
PO00285,S002,P026,978,1407.4,2025-04-16,2025-04-22,2025-04-22,32,True
PO00286,S002,P026,1514,1428.54,2025-05-20,2025-05-26,2025-05-26,44,True
PO00287,S002,P026,1312,1405.31,2025-06-12,2025-06-18,2025-06-17,51,True
PO00288,S002,P026,1518,1385.39,2025-07-02,2025-07-08,2025-07-08,38,True
PO00289,S002,P026,1071,1396.05,2025-08-04,2025-08-10,2025-08-09,19,True
PO00290,S002,P026,1426,1391.84,2025-08-26,2025-09-01,2025-08-31,32,True
PO00291,S002,P026,1613,1393.0,2025-10-08,2025-10-14,2025-10-14,61,True
PO00292,S002,P026,889,1362.67,2025-11-18,2025-11-24,2025-11-24,12,True
PO00293,S002,P026,1438,1345.92,2025-12-31,2026-01-06,2026-01-06,23,True
PO00294,S002,P027,102,2272.7,2025-01-23,2025-01-29,2025-01-28,4,True
PO00295,S002,P027,77,2214.04,2025-02-18,2025-02-24,2025-02-23,1,True
PO00296,S002,P027,87,2111.27,2025-03-26,2025-04-01,2025-04-01,3,True
PO00297,S002,P027,110,2210.04,2025-04-15,2025-04-21,2025-04-21,3,True
PO00298,S002,P027,98,2111.63,2025-05-22,2025-05-28,2025-05-28,2,True
PO00299,S002,P027,95,2185.49,2025-06-26,2025-07-02,2025-07-04,2,False
PO00300,S002,P027,101,2321.23,2025-08-07,2025-08-13,2025-08-13,1,True
PO00301,S002,P027,61,2162.84,2025-08-27,2025-09-02,2025-09-02,1,True
PO00302,S002,P027,68,2141.51,2025-09-16,2025-09-22,2025-09-22,1,True
PO00303,S002,P027,62,2169.96,2025-10-22,2025-10-28,2025-10-27,2,True
PO00304,S002,P027,105,2238.02,2025-11-11,2025-11-17,2025-11-15,2,True
PO00305,S002,P027,107,2165.48,2025-12-10,2025-12-16,2025-12-16,3,True
PO00306,S005,P028,320,2264.39,2025-01-08,2025-01-15,2025-01-13,10,True
PO00307,S005,P028,310,2235.02,2025-02-20,2025-02-27,2025-02-25,2,True
PO00308,S005,P028,454,2391.71,2025-03-18,2025-03-25,2025-03-25,11,True
PO00309,S005,P028,314,2229.62,2025-04-10,2025-04-17,2025-04-15,9,True
PO00310,S005,P028,384,2388.38,2025-05-01,2025-05-08,2025-05-08,13,True
PO00311,S005,P028,491,2226.7,2025-06-03,2025-06-10,2025-06-08,13,True
PO00312,S005,P028,317,2229.39,2025-07-01,2025-07-08,2025-07-07,5,True
PO00313,S005,P028,303,2378.58,2025-07-24,2025-07-31,2025-07-29,12,True
PO00314,S005,P028,505,2318.11,2025-09-01,2025-09-08,2025-09-06,15,True
PO00315,S005,P028,294,2269.07,2025-09-25,2025-10-02,2025-10-01,7,True
PO00316,S005,P028,339,2407.86,2025-10-13,2025-10-20,2025-10-20,9,True
PO00317,S005,P028,520,2417.28,2025-11-12,2025-11-19,2025-11-17,4,True
PO00318,S005,P028,502,2341.14,2025-12-17,2025-12-24,2025-12-24,8,True
PO00319,S004,P029,318,581.98,2025-01-06,2025-01-13,2025-01-13,3,True
PO00320,S004,P029,494,593.46,2025-01-27,2025-02-03,2025-02-03,5,True
PO00321,S004,P029,315,586.32,2025-02-27,2025-03-06,2025-03-04,2,True
PO00322,S004,P029,375,610.51,2025-04-10,2025-04-17,2025-04-15,4,True
PO00323,S004,P029,303,610.56,2025-05-12,2025-05-19,2025-05-19,3,True
PO00324,S004,P029,297,582.09,2025-06-16,2025-06-23,2025-06-22,3,True
