production_order_id,product_id,warehouse,planned_qty,actual_qty,start_date,completion_date
WO00076,P013,Bengaluru DC,276,259,2025-12-08,2025-12-15
WO00077,P015,Pune DC,388,362,2025-01-27,2025-02-01
WO00078,P015,Chennai DC,408,345,2025-03-05,2025-03-17
WO00079,P015,Chennai DC,356,337,2025-03-26,2025-04-01
WO00080,P015,Pune DC,313,290,2025-04-23,2025-04-29
WO00081,P015,Chennai DC,273,267,2025-05-27,2025-06-07
WO00082,P015,Bengaluru DC,317,277,2025-06-16,2025-06-28
WO00083,P015,Pune DC,404,393,2025-07-14,2025-07-22
WO00084,P015,Chennai DC,276,268,2025-08-20,2025-08-30
WO00085,P015,Pune DC,286,266,2025-09-23,2025-10-01
WO00086,P015,Chennai DC,346,328,2025-10-20,2025-10-29
WO00087,P015,Chennai DC,233,231,2025-11-26,2025-12-04
WO00088,P015,Pune DC,364,345,2025-12-22,2025-12-31
WO00089,P019,Bengaluru DC,98,94,2025-01-15,2025-01-22
WO00090,P019,Chennai DC,115,108,2025-02-17,2025-02-24
WO00091,P019,Chennai DC,109,97,2025-03-12,2025-03-21
WO00092,P019,Pune DC,154,147,2025-04-02,2025-04-11
WO00093,P019,Pune DC,170,144,2025-04-22,2025-04-27
WO00094,P019,Chennai DC,103,98,2025-05-20,2025-05-29
WO00095,P019,Bengaluru DC,139,135,2025-06-17,2025-06-27
WO00096,P019,Pune DC,117,118,2025-07-21,2025-07-26
WO00097,P019,Bengaluru DC,92,91,2025-08-26,2025-09-05
WO00098,P019,Bengaluru DC,183,190,2025-09-22,2025-09-27
WO00099,P019,Bengaluru DC,176,161,2025-10-28,2025-11-03
WO00100,P019,Chennai DC,97,94,2025-11-18,2025-11-27
WO00101,P019,Bengaluru DC,131,117,2025-12-08,2025-12-20
WO00102,P020,Bengaluru DC,199,194,2025-01-21,2025-01-29
WO00103,P020,Bengaluru DC,273,260,2025-02-17,2025-02-27
WO00104,P020,Chennai DC,317,298,2025-03-12,2025-03-24
WO00105,P020,Bengaluru DC,195,184,2025-04-09,2025-04-15
WO00106,P020,Chennai DC,340,321,2025-04-29,2025-05-09
WO00107,P020,Pune DC,345,331,2025-05-19,2025-05-24
WO00108,P020,Chennai DC,191,190,2025-06-10,2025-06-21
WO00109,P020,Pune DC,233,209,2025-07-02,2025-07-07
WO00110,P020,Chennai DC,221,198,2025-07-28,2025-08-08
WO00111,P020,Pune DC,261,240,2025-09-03,2025-09-08
WO00112,P020,Chennai DC,241,241,2025-10-01,2025-10-07
WO00113,P020,Bengaluru DC,285,263,2025-10-21,2025-10-31
WO00114,P020,Bengaluru DC,286,264,2025-11-10,2025-11-16
WO00115,P020,Pune DC,243,234,2025-12-15,2025-12-24
WO00116,P021,Bengaluru DC,100,93,2025-01-27,2025-02-04
WO00117,P021,Chennai DC,139,130,2025-02-17,2025-02-26
WO00118,P021,Chennai DC,139,139,2025-03-25,2025-04-03
WO00119,P021,Pune DC,115,109,2025-04-14,2025-04-26
WO00120,P021,Chennai DC,133,126,2025-05-13,2025-05-18
WO00121,P021,Chennai DC,108,95,2025-06-16,2025-06-21
WO00122,P021,Bengaluru DC,105,96,2025-07-08,2025-07-18
WO00123,P021,Chennai DC,118,109,2025-08-11,2025-08-17
WO00124,P021,Pune DC,140,129,2025-09-10,2025-09-22
WO00125,P021,Pune DC,142,139,2025-10-15,2025-10-25
WO00126,P021,Bengaluru DC,127,131,2025-11-10,2025-11-16
WO00127,P021,Chennai DC,144,134,2025-12-08,2025-12-13
WO00128,P021,Chennai DC,109,108,2025-12-30,2026-01-07
WO00129,P023,Bengaluru DC,307,318,2025-01-27,2025-02-07
WO00130,P023,Chennai DC,353,317,2025-02-24,2025-03-02
WO00131,P023,Chennai DC,374,370,2025-03-17,2025-03-26
WO00132,P023,Bengaluru DC,513,517,2025-04-22,2025-04-27
WO00133,P023,Pune DC,316,305,2025-05-13,2025-05-20
WO00134,P023,Bengaluru DC,480,429,2025-06-16,2025-06-26
WO00135,P023,Pune DC,305,276,2025-07-07,2025-07-12
WO00136,P023,Bengaluru DC,358,301,2025-07-28,2025-08-04
WO00137,P023,Pune DC,378,372,2025-08-25,2025-09-03
WO00138,P023,Chennai DC,504,472,2025-09-24,2025-10-01
WO00139,P023,Bengaluru DC,290,271,2025-10-22,2025-10-28
WO00140,P023,Pune DC,440,401,2025-11-10,2025-11-21
WO00141,P023,Chennai DC,499,481,2025-12-16,2025-12-24
WO00142,P025,Pune DC,35,33,2025-01-15,2025-01-24
WO00143,P025,Chennai DC,37,34,2025-02-03,2025-02-12
WO00144,P025,Pune DC,34,31,2025-03-11,2025-03-19
WO00145,P025,Pune DC,23,20,2025-04-16,2025-04-22
WO00146,P025,Pune DC,29,27,2025-05-21,2025-05-31
WO00147,P025,Pune DC,30,28,2025-06-10,2025-06-20
WO00148,P025,Pune DC,25,23,2025-07-15,2025-07-27
WO00149,P025,Bengaluru DC,24,21,2025-08-20,2025-08-25
WO00150,P025,Pune DC,24,22,2025-09-15,2025-09-26
WO00151,P025,Pune DC,38,37,2025-10-15,2025-10-22
WO00152,P025,Bengaluru DC,22,21,2025-11-12,2025-11-18
WO00153,P025,Bengaluru DC,24,23,2025-12-09,2025-12-19
WO00154,P026,Pune DC,801,772,2025-01-21,2025-02-02
WO00155,P026,Bengaluru DC,695,615,2025-02-18,2025-02-28
WO00156,P026,Bengaluru DC,691,700,2025-03-11,2025-03-19
WO00157,P026,Chennai DC,1006,943,2025-04-07,2025-04-16
WO00158,P026,Bengaluru DC,975,981,2025-05-14,2025-05-20
WO00159,P026,Chennai DC,742,717,2025-06-02,2025-06-08
WO00160,P026,Pune DC,914,872,2025-06-24,2025-07-02
WO00161,P026,Chennai DC,650,595,2025-07-23,2025-08-01
WO00162,P026,Pune DC,550,514,2025-08-13,2025-08-22
WO00163,P026,Chennai DC,1062,989,2025-09-09,2025-09-20
WO00164,P026,Bengaluru DC,903,849,2025-10-13,2025-10-25
WO00165,P026,Bengaluru DC,940,941,2025-11-10,2025-11-18
WO00166,P026,Pune DC,940,853,2025-12-08,2025-12-20
WO00167,P029,Chennai DC,254,244,2025-01-07,2025-01-15
WO00168,P029,Chennai DC,258,258,2025-02-03,2025-02-15
WO00169,P029,Bengaluru DC,280,265,2025-02-25,2025-03-04
WO00170,P029,Chennai DC,266,252,2025-03-26,2025-03-31
WO00171,P029,Chennai DC,252,234,2025-04-22,2025-04-30
WO00172,P029,Bengaluru DC,236,212,2025-05-21,2025-05-30
WO00173,P029,Pune DC,205,191,2025-06-23,2025-06-30
WO00174,P029,Bengaluru DC,352,345,2025-07-30,2025-08-10
WO00175,P029,Bengaluru DC,211,206,2025-08-25,2025-09-05
WO00176,P029,Pune DC,291,284,2025-09-24,2025-10-06
WO00177,P029,Bengaluru DC,298,284,2025-10-13,2025-10-19
WO00178,P029,Bengaluru DC,182,173,2025-11-05,2025-11-17
WO00179,P029,Pune DC,214,192,2025-11-25,2025-12-04
WO00180,P029,Pune DC,258,252,2025-12-31,2026-01-06
WO00181,P030,Pune DC,163,151,2025-01-06,2025-01-16
WO00182,P030,Pune DC,99,94,2025-02-03,2025-02-09
WO00183,P030,Bengaluru DC,122,118,2025-03-05,2025-03-11
WO00184,P030,Chennai DC,126,120,2025-03-24,2025-04-02
WO00185,P030,Pune DC,141,140,2025-04-29,2025-05-06
WO00186,P030,Bengaluru DC,112,112,2025-06-02,2025-06-14
WO00187,P030,Chennai DC,160,163,2025-06-24,2025-06-30
WO00188,P030,Pune DC,168,165,2025-07-16,2025-07-26
WO00189,P030,Pune DC,152,146,2025-08-12,2025-08-17
WO00190,P030,Chennai DC,149,140,2025-09-16,2025-09-26
WO00191,P030,Bengaluru DC,124,122,2025-10-14,2025-10-21
WO00192,P030,Chennai DC,128,126,2025-11-19,2025-11-30
WO00193,P030,Bengaluru DC,122,120,2025-12-10,2025-12-16
WO00194,P030,Chennai DC,165,160,2025-12-29,2026-01-07
WO00195,P032,Pune DC,83,78,2025-01-08,2025-01-16
WO00196,P032,Bengaluru DC,47,45,2025-02-10,2025-02-20
WO00197,P032,Pune DC,63,60,2025-03-18,2025-03-29
WO00198,P032,Bengaluru DC,64,58,2025-04-09,2025-04-14
WO00199,P032,Chennai DC,60,57,2025-05-14,2025-05-26
WO00200,P032,Pune DC,45,39,2025-06-09,2025-06-20
WO00201,P032,Chennai DC,58,53,2025-07-02,2025-07-09
WO00202,P032,Chennai DC,47,45,2025-07-29,2025-08-10
WO00203,P032,Pune DC,50,44,2025-09-01,2025-09-13
WO00204,P032,Bengaluru DC,70,70,2025-09-22,2025-09-27
WO00205,P032,Chennai DC,51,50,2025-10-20,2025-10-31
WO00206,P032,Pune DC,50,46,2025-11-12,2025-11-21
WO00207,P032,Chennai DC,83,77,2025-12-01,2025-12-06
WO00208,P032,Chennai DC,80,76,2025-12-23,2025-12-28
WO00209,P034,Chennai DC,398,387,2025-01-07,2025-01-16
WO00210,P034,Bengaluru DC,487,454,2025-01-27,2025-02-07
WO00211,P034,Pune DC,301,303,2025-02-24,2025-03-04
WO00212,P034,Chennai DC,502,460,2025-03-17,2025-03-27
WO00213,P034,Bengaluru DC,540,488,2025-04-21,2025-04-29
WO00214,P034,Chennai DC,288,256,2025-05-26,2025-06-02
WO00215,P034,Bengaluru DC,431,385,2025-06-17,2025-06-27
WO00216,P034,Bengaluru DC,535,519,2025-07-21,2025-08-01
WO00217,P034,Bengaluru DC,374,381,2025-08-11,2025-08-17
WO00218,P034,Bengaluru DC,279,262,2025-09-02,2025-09-12
WO00219,P034,Pune DC,457,478,2025-09-29,2025-10-05
WO00220,P034,Bengaluru DC,288,270,2025-11-05,2025-11-15
WO00221,P034,Bengaluru DC,547,506,2025-12-02,2025-12-14
WO00222,P036,Chennai DC,767,741,2025-01-14,2025-01-20
WO00223,P036,Chennai DC,639,597,2025-02-18,2025-02-25
WO00224,P036,Bengaluru DC,512,506,2025-03-25,2025-04-06
WO00225,P036,Chennai DC,663,614,2025-04-30,2025-05-12
WO00226,P036,Chennai DC,591,589,2025-06-02,2025-06-07
WO00227,P036,Bengaluru DC,834,805,2025-06-24,2025-07-02
WO00228,P036,Pune DC,546,540,2025-07-28,2025-08-02
WO00229,P036,Chennai DC,660,632,2025-08-25,2025-09-01
WO00230,P036,Pune DC,834,776,2025-09-15,2025-09-27
WO00231,P036,Bengaluru DC,788,735,2025-10-07,2025-10-17
WO00232,P036,Bengaluru DC,840,839,2025-11-11,2025-11-20
WO00233,P036,Chennai DC,596,548,2025-12-16,2025-12-26
