product_id,stockout_units,units_shipped,avg_inventory,n_orders,sim_stockout_units,sim_units_shipped,sim_avg_inventory,sim_n_orders,true_demand,unit_cost,safety_stock,reorder_point,eoq,avg_lead_days,primary_supplier_id,before_service_level_pct,after_service_level_pct,before_holding_cost,after_holding_cost,before_ordering_cost,after_ordering_cost,before_total_cost,after_total_cost,stockout_units_avoided,service_level_gain_pts,cost_delta,unit_price,margin_per_unit,margin_recovered,net_benefit
P024,12,3838,150.17,12,0,3850,172.52,15,3850,2139.64,53.0,186.0,256.0,12.58,S011,99.69,100.0,70689.59,81208.39,48000.0,60000.0,118689.59,141208.39,12,0.31,22518.8,3324.54,1184.9,14218.8,-8300.0
P025,0,569,34.9,12,0,569,66.4,5,569,1610.93,8.0,19.0,113.0,6.82,S001,100.0,100.0,12370.08,23533.83,48000.0,20000.0,60370.08,43533.83,0,0.0,-16836.26,2228.51,617.58,0.0,16836.26
P026,0,14829,864.38,12,0,14829,315.15,23,14829,1403.69,93.0,327.0,620.0,5.75,S002,100.0,100.0,266932.17,97323.23,48000.0,92000.0,314932.17,189323.23,0,0.0,-125608.94,2106.73,703.04,0.0,125608.94
P027,0,929,56.46,13,0,929,69.63,7,929,2216.13,10.0,24.0,123.0,5.75,S002,100.0,100.0,27527.74,33950.26,52000.0,28000.0,79527.74,61950.26,0,0.0,-17577.48,3289.77,1073.64,0.0,17577.48
P028,0,4622,269.27,12,3,4619,139.23,17,4622,2314.99,32.0,105.0,269.0,5.77,S005,100.0,99.94,137138.23,70909.92,48000.0,68000.0,185138.23,138909.92,-3,-0.06,-46228.3,4045.84,1730.85,-5192.55,41035.75
P029,0,4677,287.4,12,0,4677,298.6,8,4677,594.96,29.0,106.0,535.0,6.0,S004,100.0,100.0,37618.63,39083.61,48000.0,32000.0,85618.63,71083.61,0,0.0,-14535.03,1054.04,459.08,0.0,14535.03
P030,0,2796,167.92,13,0,2796,132.31,13,2796,2418.88,20.0,77.0,205.0,7.33,S006,100.0,100.0,89360.87,70408.01,52000.0,52000.0,141360.87,122408.01,0,0.0,-18952.86,3375.27,956.39,0.0,18952.86
P031,0,16749,948.69,13,0,16749,423.46,26,16749,1472.44,112.0,405.0,643.0,6.36,S001,100.0,100.0,307316.35,137174.78,52000.0,104000.0,359316.35,241174.78,0,0.0,-118141.57,2780.68,1308.24,0.0,118141.57
P032,8,1388,55.5,12,0,1396,358.73,2,1396,158.75,25.0,78.0,565.0,13.73,S012,99.43,100.0,1938.34,12528.67,48000.0,8000.0,49938.34,20528.67,8,0.57,-29409.67,238.96,80.21,641.68,30051.35
P033,0,1536,87.21,13,0,1536,169.56,5,1536,819.09,18.0,61.0,261.0,10.08,S003,100.0,100.0,15715.5,30554.26,52000.0,20000.0,67715.5,50554.26,0,0.0,-17161.24,1469.13,650.04,0.0,17161.24
P034,0,7212,441.19,12,0,7212,509.21,10,7212,520.01,135.0,288.0,710.0,7.69,S001,100.0,100.0,50473.37,58254.92,48000.0,40000.0,98473.37,98254.92,0,0.0,-218.45,866.05,346.04,0.0,218.45
P035,0,6211,353.08,12,0,6211,343.48,16,6211,1536.32,118.0,270.0,383.0,8.92,S009,100.0,100.0,119336.61,116093.2,48000.0,64000.0,167336.61,180093.2,0,0.0,12756.59,2190.14,653.82,0.0,-12756.59
P036,0,11574,707.71,13,47,11527,255.1,23,11574,1676.44,67.0,229.0,501.0,5.08,S002,100.0,99.59,261015.9,94083.75,52000.0,92000.0,313015.9,186083.75,-47,-0.41,-126932.16,2738.44,1062.0,-49914.0,77018.16
P037,0,8845,494.29,13,0,8845,275.67,19,8845,1547.62,42.0,186.0,456.0,5.91,S004,100.0,100.0,168293.56,93860.18,52000.0,76000.0,220293.56,169860.18,0,0.0,-50433.38,2689.67,1142.05,0.0,50433.38
P038,0,787,44.98,12,0,787,70.5,6,787,1957.13,8.0,23.0,121.0,7.0,S006,100.0,100.0,19367.31,30355.09,48000.0,24000.0,67367.31,54355.09,0,0.0,-13012.22,2648.37,691.24,0.0,13012.22
P039,136,7968,338.21,12,16,8088,310.77,17,8104,1351.27,121.0,384.0,467.0,11.82,S011,98.32,99.8,100543.32,92385.29,48000.0,68000.0,148543.32,160385.29,120,1.48,11841.97,2150.21,798.94,95872.8,84030.83
P040,0,2409,140.25,13,0,2409,154.48,8,2409,1152.67,18.0,56.0,276.0,5.83,S005,100.0,100.0,35565.63,39174.38,52000.0,32000.0,87565.63,71174.38,0,0.0,-16391.26,1989.79,837.12,0.0,16391.26
