sale_id,date,product_id,customer_id,warehouse,quantity,revenue
SO000040,2025-05-17,P001,C006,Bengaluru DC,7,27141.94
SO000041,2025-05-25,P001,C009,Bengaluru DC,26,100812.92
SO000042,2025-05-27,P001,C027,Chennai DC,26,100812.92
SO000043,2025-06-08,P001,C038,Chennai DC,27,104690.34
SO000044,2025-06-13,P001,C004,Pune DC,24,93058.08
SO000045,2025-06-17,P001,C001,Bengaluru DC,43,166729.06
SO000046,2025-06-26,P001,C034,Pune DC,35,135709.7
SO000047,2025-06-30,P001,C027,Chennai DC,9,34896.78
SO000048,2025-07-04,P001,C033,Pune DC,10,38774.2
SO000049,2025-07-01,P001,C016,Pune DC,7,27141.94
SO000050,2025-07-12,P001,C024,Pune DC,22,85303.24
SO000051,2025-07-09,P001,C004,Pune DC,12,46529.04
SO000052,2025-07-15,P001,C012,Bengaluru DC,15,58161.3
SO000053,2025-07-18,P001,C003,Pune DC,21,81425.82
SO000054,2025-07-26,P001,C031,Pune DC,11,42651.62
SO000055,2025-07-26,P001,C015,Bengaluru DC,16,62038.72
SO000056,2025-07-21,P001,C032,Bengaluru DC,11,42651.62
SO000057,2025-07-30,P001,C024,Pune DC,31,120200.02
SO000058,2025-08-08,P001,C011,Chennai DC,30,116322.6
SO000059,2025-08-13,P001,C035,Pune DC,29,112445.18
SO000060,2025-08-23,P001,C032,Bengaluru DC,10,38774.2
SO000061,2025-08-21,P001,C038,Chennai DC,13,50406.46
SO000062,2025-08-21,P001,C027,Chennai DC,11,42651.62
SO000063,2025-08-26,P001,C033,Pune DC,11,42651.62
SO000064,2025-08-25,P001,C010,Pune DC,7,27141.94
SO000065,2025-08-29,P001,C014,Bengaluru DC,10,38774.2
SO000066,2025-09-07,P001,C036,Pune DC,9,34896.78
SO000067,2025-09-06,P001,C010,Pune DC,11,42651.62
SO000068,2025-09-02,P001,C035,Pune DC,6,23264.52
SO000069,2025-09-13,P001,C011,Chennai DC,27,104690.34
SO000070,2025-09-21,P001,C022,Bengaluru DC,14,54283.88
SO000071,2025-09-20,P001,C009,Bengaluru DC,11,42651.62
SO000072,2025-09-28,P001,C023,Bengaluru DC,8,31019.36
SO000073,2025-09-22,P001,C017,Pune DC,15,58161.3
SO000074,2025-09-28,P001,C013,Chennai DC,9,34896.78
SO000075,2025-10-05,P001,C026,Chennai DC,10,38774.2
SO000076,2025-09-29,P001,C028,Bengaluru DC,14,54283.88
SO000077,2025-10-01,P001,C012,Bengaluru DC,12,46529.04
SO000078,2025-10-09,P001,C031,Pune DC,8,31019.36
SO000079,2025-10-11,P001,C007,Bengaluru DC,9,34896.78
SO000080,2025-10-08,P001,C002,Pune DC,12,46529.04
SO000081,2025-10-17,P001,C005,Chennai DC,29,112445.18
SO000082,2025-10-22,P001,C019,Chennai DC,4,15509.68
SO000083,2025-10-20,P001,C036,Pune DC,3,11632.26
SO000084,2025-10-26,P001,C024,Pune DC,11,42651.62
SO000085,2025-11-02,P001,C021,Pune DC,13,50406.46
SO000086,2025-10-30,P001,C002,Pune DC,16,62038.72
SO000087,2025-11-06,P001,C027,Chennai DC,37,143464.54
SO000088,2025-11-15,P001,C001,Bengaluru DC,19,73670.98
SO000089,2025-11-16,P001,C036,Pune DC,13,50406.46
SO000090,2025-11-22,P001,C010,Pune DC,16,62038.72
SO000091,2025-11-18,P001,C026,Chennai DC,18,69793.56
SO000092,2025-11-25,P001,C031,Pune DC,12,46529.04
SO000093,2025-11-29,P001,C019,Chennai DC,13,50406.46
SO000094,2025-12-06,P001,C034,Pune DC,10,38774.2
SO000095,2025-12-03,P001,C038,Chennai DC,4,15509.68
SO000096,2025-12-05,P001,C034,Pune DC,18,69793.56
SO000097,2025-12-14,P001,C022,Bengaluru DC,7,27141.94
SO000098,2025-12-11,P001,C037,Chennai DC,13,50406.46
SO000099,2025-12-11,P001,C018,Pune DC,12,46529.04
SO000100,2025-12-21,P001,C027,Chennai DC,20,77548.4
SO000101,2025-12-20,P001,C033,Pune DC,14,54283.88
SO000102,2025-12-24,P001,C005,Chennai DC,13,50406.46
SO000103,2025-12-24,P001,C023,Bengaluru DC,13,50406.46
SO000104,2025-12-28,P001,C010,Pune DC,13,50406.46
SO000105,2026-01-04,P001,C001,Bengaluru DC,27,104690.34
SO000106,2025-01-08,P002,C012,Bengaluru DC,10,23753.2
SO000107,2025-01-14,P002,C024,Pune DC,6,14251.92
SO000108,2025-01-19,P002,C036,Pune DC,5,11876.6
SO000109,2025-01-24,P002,C012,Bengaluru DC,6,14251.92
SO000110,2025-01-24,P002,C015,Bengaluru DC,5,11876.6
SO000111,2025-01-30,P002,C028,Bengaluru DC,6,14251.92
SO000112,2025-01-29,P002,C006,Bengaluru DC,6,14251.92
SO000113,2025-01-27,P002,C038,Chennai DC,6,14251.92
SO000114,2025-02-09,P002,C007,Bengaluru DC,6,14251.92
SO000115,2025-02-05,P002,C034,Pune DC,3,7125.96
SO000116,2025-02-13,P002,C002,Pune DC,15,35629.8
SO000117,2025-02-19,P002,C035,Pune DC,14,33254.48
SO000118,2025-02-26,P002,C013,Chennai DC,6,14251.92
SO000119,2025-02-26,P002,C029,Chennai DC,10,23753.2
SO000120,2025-03-08,P002,C006,Bengaluru DC,8,19002.56
SO000121,2025-03-05,P002,C016,Pune DC,6,14251.92
SO000122,2025-03-07,P002,C033,Pune DC,5,11876.6
SO000123,2025-03-14,P002,C001,Bengaluru DC,12,28503.84
SO000124,2025-03-17,P002,C011,Chennai DC,14,33254.48
SO000125,2025-03-29,P002,C033,Pune DC,20,47506.4
SO000126,2025-04-03,P002,C016,Pune DC,4,9501.28
SO000127,2025-04-04,P002,C029,Chennai DC,9,21377.88
SO000128,2025-04-12,P002,C013,Chennai DC,13,30879.16
SO000129,2025-04-19,P002,C028,Bengaluru DC,5,11876.6
SO000130,2025-04-19,P002,C032,Bengaluru DC,4,9501.28
SO000131,2025-04-24,P002,C031,Pune DC,2,4750.64
SO000132,2025-04-27,P002,C038,Chennai DC,4,9501.28
SO000133,2025-04-28,P002,C002,Pune DC,20,47506.4
SO000134,2025-05-06,P002,C006,Bengaluru DC,9,21377.88
SO000135,2025-05-08,P002,C013,Chennai DC,9,21377.88
SO000136,2025-05-13,P002,C034,Pune DC,6,14251.92
SO000137,2025-05-14,P002,C035,Pune DC,4,9501.28
SO000138,2025-05-17,P002,C036,Pune DC,7,16627.24
SO000139,2025-05-21,P002,C007,Bengaluru DC,5,11876.6
SO000140,2025-05-22,P002,C023,Bengaluru DC,2,4750.64
SO000141,2025-05-23,P002,C037,Chennai DC,4,9501.28
SO000142,2025-05-28,P002,C024,Pune DC,5,11876.6
SO000143,2025-05-29,P002,C030,Pune DC,2,4750.64
SO000144,2025-05-31,P002,C036,Pune DC,5,11876.6
SO000145,2025-06-04,P002,C005,Chennai DC,4,9501.28
SO000146,2025-06-04,P002,C039,Chennai DC,8,19002.56
SO000147,2025-06-07,P002,C003,Pune DC,3,7125.96
SO000148,2025-06-11,P002,C008,Bengaluru DC,9,21377.88
SO000149,2025-06-11,P002,C001,Bengaluru DC,4,9501.28
SO000150,2025-06-17,P002,C028,Bengaluru DC,2,4750.64
SO000151,2025-06-16,P002,C033,Pune DC,6,14251.92
SO000152,2025-06-24,P002,C025,Pune DC,2,4750.64
SO000153,2025-06-25,P002,C020,Pune DC,4,9501.28
SO000154,2025-06-23,P002,C010,Pune DC,6,14251.92
SO000155,2025-07-04,P002,C003,Pune DC,5,11876.6
SO000156,2025-07-06,P002,C031,Pune DC,5,11876.6
SO000157,2025-07-05,P002,C024,Pune DC,3,7125.96
SO000158,2025-07-08,P002,C035,Pune DC,13,30879.16
SO000159,2025-07-19,P002,C025,Pune DC,13,30879.16
SO000160,2025-07-23,P002,C023,Bengaluru DC,5,11876.6
SO000161,2025-07-26,P002,C027,Chennai DC,8,19002.56
SO000162,2025-08-03,P002,C001,Bengaluru DC,3,7125.96
SO000163,2025-08-01,P002,C033,Pune DC,3,7125.96
SO000164,2025-08-01,P002,C036,Pune DC,4,9501.28
SO000165,2025-08-04,P002,C008,Bengaluru DC,5,11876.6
SO000166,2025-08-10,P002,C027,Chennai DC,5,11876.6
SO000167,2025-08-13,P002,C027,Chennai DC,9,21377.88
SO000168,2025-08-20,P002,C031,Pune DC,11,26128.52
SO000169,2025-08-27,P002,C032,Bengaluru DC,14,33254.48
SO000170,2025-09-06,P002,C001,Bengaluru DC,18,42755.76
SO000171,2025-09-09,P002,C019,Chennai DC,4,9501.28
SO000172,2025-09-10,P002,C001,Bengaluru DC,4,9501.28
SO000173,2025-09-08,P002,C021,Pune DC,3,7125.96
SO000174,2025-09-19,P002,C006,Bengaluru DC,6,14251.92
SO000175,2025-09-27,P002,C002,Pune DC,5,11876.6
SO000176,2025-09-23,P002,C019,Chennai DC,3,7125.96
SO000177,2025-10-05,P002,C006,Bengaluru DC,4,9501.28
SO000178,2025-10-05,P002,C005,Chennai DC,2,4750.64
SO000179,2025-10-06,P002,C036,Pune DC,4,9501.28
SO000180,2025-10-12,P002,C026,Chennai DC,5,11876.6
SO000181,2025-10-17,P002,C040,Chennai DC,9,21377.88
SO000182,2025-10-23,P002,C015,Bengaluru DC,9,21377.88
SO000183,2025-10-23,P002,C017,Pune DC,5,11876.6
SO000184,2025-10-29,P002,C027,Chennai DC,3,7125.96
SO000185,2025-10-28,P002,C004,Pune DC,5,11876.6
SO000186,2025-11-05,P002,C021,Pune DC,9,21377.88
SO000187,2025-11-10,P002,C004,Pune DC,4,9501.28
SO000188,2025-11-16,P002,C009,Bengaluru DC,4,9501.28
SO000189,2025-11-20,P002,C004,Pune DC,12,28503.84
SO000190,2025-11-24,P002,C034,Pune DC,5,11876.6
SO000191,2025-11-28,P002,C015,Bengaluru DC,4,9501.28
SO000192,2025-12-06,P002,C032,Bengaluru DC,5,11876.6
SO000193,2025-12-01,P002,C036,Pune DC,2,4750.64
SO000194,2025-12-02,P002,C006,Bengaluru DC,7,16627.24
SO000195,2025-12-14,P002,C001,Bengaluru DC,8,19002.56
SO000196,2025-12-17,P002,C001,Bengaluru DC,6,14251.92
SO000197,2025-12-15,P002,C018,Pune DC,3,7125.96
SO000198,2025-12-22,P002,C004,Pune DC,9,21377.88
SO000199,2026-01-04,P002,C011,Chennai DC,4,9501.28
SO000200,2026-01-01,P002,C010,Pune DC,3,7125.96
SO000201,2026-01-02,P002,C013,Chennai DC,7,16627.24
SO000202,2025-01-12,P003,C017,Pune DC,25,78012.25
SO000203,2025-01-10,P003,C006,Bengaluru DC,13,40566.37
SO000204,2025-01-07,P003,C038,Chennai DC,19,59289.31
SO000205,2025-01-16,P003,C031,Pune DC,13,40566.37
SO000206,2025-01-16,P003,C018,Pune DC,10,31204.9
SO000207,2025-01-16,P003,C001,Bengaluru DC,14,43686.86
SO000208,2025-01-26,P003,C007,Bengaluru DC,24,74891.76
SO000209,2025-01-24,P003,C033,Pune DC,20,62409.8
SO000210,2025-01-29,P003,C016,Pune DC,18,56168.82
SO000211,2025-01-31,P003,C031,Pune DC,19,59289.31
SO000212,2025-02-03,P003,C031,Pune DC,9,28084.41
SO000213,2025-02-07,P003,C028,Bengaluru DC,16,49927.84
SO000214,2025-02-08,P003,C005,Chennai DC,15,46807.35
SO000215,2025-02-16,P003,C032,Bengaluru DC,39,121699.11
SO000216,2025-02-22,P003,C027,Chennai DC,40,124819.6
SO000217,2025-02-26,P003,C024,Pune DC,43,134181.07
SO000218,2025-03-03,P003,C007,Bengaluru DC,8,24963.92
SO000219,2025-03-04,P003,C033,Pune DC,12,37445.88
SO000220,2025-03-04,P003,C039,Chennai DC,9,28084.41
SO000221,2025-03-14,P003,C012,Bengaluru DC,50,156024.5
SO000222,2025-03-18,P003,C034,Pune DC,33,102976.17
SO000223,2025-03-27,P003,C017,Pune DC,48,149783.52
SO000224,2025-04-05,P003,C028,Bengaluru DC,23,71771.27
SO000225,2025-04-04,P003,C029,Chennai DC,26,81132.74
SO000226,2025-04-09,P003,C038,Chennai DC,23,71771.27
SO000227,2025-04-07,P003,C038,Chennai DC,23,71771.27
SO000228,2025-04-16,P003,C040,Chennai DC,57,177867.93
SO000229,2025-04-23,P003,C026,Chennai DC,12,37445.88
SO000230,2025-04-26,P003,C034,Pune DC,16,49927.84
SO000231,2025-04-27,P003,C025,Pune DC,13,40566.37
SO000232,2025-04-28,P003,C028,Bengaluru DC,33,102976.17
SO000233,2025-05-03,P003,C007,Bengaluru DC,16,49927.84
SO000234,2025-05-07,P003,C014,Bengaluru DC,41,127940.09
SO000235,2025-05-16,P003,C033,Pune DC,21,65530.29
SO000236,2025-05-17,P003,C040,Chennai DC,24,74891.76
SO000237,2025-05-18,P003,C018,Pune DC,13,40566.37
SO000238,2025-05-22,P003,C004,Pune DC,47,146663.03
SO000239,2025-05-30,P003,C022,Bengaluru DC,38,118578.62
SO000240,2025-06-07,P003,C033,Pune DC,30,93614.7
SO000241,2025-06-11,P003,C016,Pune DC,33,102976.17
SO000242,2025-06-16,P003,C005,Chennai DC,46,143542.54
SO000243,2025-06-24,P003,C039,Chennai DC,40,124819.6
SO000244,2025-07-04,P003,C021,Pune DC,20,62409.8
SO000245,2025-07-05,P003,C031,Pune DC,19,59289.31
SO000246,2025-07-09,P003,C038,Chennai DC,11,34325.39
SO000247,2025-07-10,P003,C008,Bengaluru DC,21,65530.29
SO000248,2025-07-07,P003,C007,Bengaluru DC,14,43686.86
SO000249,2025-07-19,P003,C012,Bengaluru DC,16,49927.84
SO000250,2025-07-16,P003,C029,Chennai DC,19,59289.31
SO000251,2025-07-24,P003,C010,Pune DC,20,62409.8
SO000252,2025-07-23,P003,C022,Bengaluru DC,8,24963.92
SO000253,2025-07-25,P003,C003,Pune DC,21,65530.29
SO000254,2025-07-31,P003,C023,Bengaluru DC,18,56168.82
SO000255,2025-07-31,P003,C021,Pune DC,16,49927.84
SO000256,2025-07-28,P003,C004,Pune DC,13,40566.37
SO000257,2025-08-04,P003,C015,Bengaluru DC,10,31204.9
SO000258,2025-08-07,P003,C037,Chennai DC,15,46807.35
SO000259,2025-08-09,P003,C034,Pune DC,9,28084.41
SO000260,2025-08-15,P003,C023,Bengaluru DC,22,68650.78
SO000261,2025-08-13,P003,C039,Chennai DC,17,53048.33
SO000262,2025-08-18,P003,C022,Bengaluru DC,40,124819.6
SO000263,2025-08-30,P003,C032,Bengaluru DC,44,137301.56
SO000264,2025-09-05,P003,C015,Bengaluru DC,12,37445.88
SO000265,2025-09-01,P003,C026,Chennai DC,8,24963.92
SO000266,2025-09-07,P003,C021,Pune DC,11,34325.39
SO000267,2025-09-14,P003,C004,Pune DC,13,40566.37
SO000268,2025-09-10,P003,C009,Bengaluru DC,14,43686.86
SO000269,2025-09-12,P003,C018,Pune DC,11,34325.39
SO000270,2025-09-21,P003,C038,Chennai DC,35,109217.15
SO000271,2025-09-25,P003,C001,Bengaluru DC,48,149783.52
SO000272,2025-10-04,P003,C032,Bengaluru DC,8,24963.92
SO000273,2025-10-02,P003,C005,Chennai DC,10,31204.9
SO000274,2025-10-01,P003,C021,Pune DC,7,21843.43
SO000275,2025-10-10,P003,C031,Pune DC,36,112337.64
SO000276,2025-10-18,P003,C031,Pune DC,20,62409.8
SO000277,2025-10-19,P003,C004,Pune DC,22,68650.78
SO000278,2025-10-20,P003,C023,Bengaluru DC,30,93614.7
SO000279,2025-10-23,P003,C032,Bengaluru DC,16,49927.84
SO000280,2025-10-30,P003,C018,Pune DC,18,56168.82
SO000281,2025-10-29,P003,C014,Bengaluru DC,17,53048.33
SO000282,2025-11-08,P003,C020,Pune DC,26,81132.74
SO000283,2025-11-03,P003,C027,Chennai DC,17,53048.33
SO000284,2025-11-12,P003,C011,Chennai DC,47,146663.03
SO000285,2025-11-22,P003,C034,Pune DC,16,49927.84
SO000286,2025-11-20,P003,C026,Chennai DC,22,68650.78
SO000287,2025-11-29,P003,C034,Pune DC,20,62409.8
SO000288,2025-11-27,P003,C009,Bengaluru DC,30,93614.7
SO000289,2025-12-01,P003,C002,Pune DC,17,53048.33
SO000290,2025-12-04,P003,C008,Bengaluru DC,19,59289.31
SO000291,2025-12-01,P003,C037,Chennai DC,12,37445.88
SO000292,2025-12-10,P003,C020,Pune DC,18,56168.82
SO000293,2025-12-10,P003,C011,Chennai DC,21,65530.29
SO000294,2025-12-21,P003,C021,Pune DC,46,143542.54
SO000295,2025-12-28,P003,C036,Pune DC,30,93614.7
SO000296,2025-12-26,P003,C032,Bengaluru DC,23,71771.27
SO000297,2026-01-03,P003,C014,Bengaluru DC,41,127940.09
SO000298,2025-01-09,P004,C034,Pune DC,4,11280.36
SO000299,2025-01-09,P004,C011,Chennai DC,4,11280.36
SO000300,2025-01-06,P004,C016,Pune DC,12,33841.08
SO000301,2025-01-17,P004,C026,Chennai DC,19,53581.71
SO000302,2025-01-24,P004,C011,Chennai DC,12,33841.08
SO000303,2025-01-26,P004,C002,Pune DC,10,28200.9
SO000304,2025-02-01,P004,C027,Chennai DC,13,36661.17
SO000305,2025-01-30,P004,C015,Bengaluru DC,12,33841.08
SO000306,2025-02-04,P004,C017,Pune DC,15,42301.35
SO000307,2025-02-14,P004,C019,Chennai DC,5,14100.45
SO000308,2025-02-11,P004,C032,Bengaluru DC,13,36661.17
SO000309,2025-02-20,P004,C025,Pune DC,16,45121.44
SO000310,2025-02-22,P004,C031,Pune DC,14,39481.26
SO000311,2025-02-24,P004,C017,Pune DC,8,22560.72
SO000312,2025-02-24,P004,C034,Pune DC,11,31020.99
SO000313,2025-03-07,P004,C004,Pune DC,7,19740.63
SO000314,2025-03-09,P004,C008,Bengaluru DC,10,28200.9
SO000315,2025-03-04,P004,C018,Pune DC,7,19740.63
SO000316,2025-03-11,P004,C013,Chennai DC,9,25380.81
SO000317,2025-03-12,P004,C006,Bengaluru DC,12,33841.08
SO000318,2025-03-14,P004,C018,Pune DC,8,22560.72
SO000319,2025-03-21,P004,C025,Pune DC,29,81782.61
SO000320,2025-03-24,P004,C011,Chennai DC,8,22560.72
SO000321,2025-03-25,P004,C019,Chennai DC,16,45121.44
SO000322,2025-04-03,P004,C021,Pune DC,28,78962.52
SO000323,2025-04-12,P004,C016,Pune DC,20,56401.8
SO000324,2025-04-17,P004,C031,Pune DC,32,90242.88
SO000325,2025-04-23,P004,C020,Pune DC,5,14100.45
SO000326,2025-04-25,P004,C012,Bengaluru DC,7,19740.63
SO000327,2025-04-26,P004,C022,Bengaluru DC,5,14100.45
SO000328,2025-05-01,P004,C040,Chennai DC,15,42301.35
SO000329,2025-05-04,P004,C026,Chennai DC,15,42301.35
SO000330,2025-05-08,P004,C036,Pune DC,8,22560.72
SO000331,2025-05-06,P004,C022,Bengaluru DC,13,36661.17
SO000332,2025-05-16,P004,C028,Bengaluru DC,10,28200.9
SO000333,2025-05-13,P004,C014,Bengaluru DC,17,47941.53
SO000334,2025-05-20,P004,C038,Chennai DC,17,47941.53
SO000335,2025-05-23,P004,C003,Pune DC,12,33841.08
SO000336,2025-05-31,P004,C033,Pune DC,5,14100.45
SO000337,2025-05-27,P004,C005,Chennai DC,12,33841.08
SO000338,2025-06-01,P004,C001,Bengaluru DC,14,39481.26
SO000339,2025-06-04,P004,C027,Chennai DC,24,67682.16
SO000340,2025-06-11,P004,C009,Bengaluru DC,9,25380.81
SO000341,2025-06-15,P004,C001,Bengaluru DC,11,31020.99
SO000342,2025-06-18,P004,C032,Bengaluru DC,7,19740.63
SO000343,2025-06-22,P004,C024,Pune DC,12,33841.08
SO000344,2025-06-16,P004,C002,Pune DC,7,19740.63
SO000345,2025-06-28,P004,C035,Pune DC,14,39481.26
SO000346,2025-06-25,P004,C017,Pune DC,14,39481.26
SO000347,2025-07-04,P004,C011,Chennai DC,8,22560.72
SO000348,2025-07-05,P004,C026,Chennai DC,5,14100.45
SO000349,2025-07-03,P004,C012,Bengaluru DC,11,31020.99
SO000350,2025-07-10,P004,C023,Bengaluru DC,27,76142.43
SO000351,2025-07-17,P004,C018,Pune DC,8,22560.72
SO000352,2025-07-16,P004,C023,Bengaluru DC,5,14100.45
SO000353,2025-07-16,P004,C003,Pune DC,9,25380.81
SO000354,2025-07-27,P004,C001,Bengaluru DC,6,16920.54
SO000355,2025-07-25,P004,C032,Bengaluru DC,5,14100.45
SO000356,2025-07-24,P004,C032,Bengaluru DC,6,16920.54
SO000357,2025-07-30,P004,C019,Chennai DC,12,33841.08
SO000358,2025-08-03,P004,C008,Bengaluru DC,11,31020.99
SO000359,2025-08-09,P004,C033,Pune DC,17,47941.53
SO000360,2025-08-15,P004,C012,Bengaluru DC,13,36661.17
SO000361,2025-08-19,P004,C023,Bengaluru DC,6,16920.54
SO000362,2025-08-24,P004,C012,Bengaluru DC,12,33841.08
SO000363,2025-08-25,P004,C035,Pune DC,10,28200.9
SO000364,2025-08-27,P004,C021,Pune DC,4,11280.36
SO000365,2025-09-04,P004,C011,Chennai DC,6,16920.54
SO000366,2025-09-06,P004,C036,Pune DC,3,8460.27
SO000367,2025-09-07,P004,C037,Chennai DC,4,11280.36
SO000368,2025-09-11,P004,C020,Pune DC,14,39481.26
SO000369,2025-09-13,P004,C025,Pune DC,12,33841.08
SO000370,2025-09-16,P004,C011,Chennai DC,9,25380.81
SO000371,2025-09-18,P004,C024,Pune DC,9,25380.81
SO000372,2025-09-15,P004,C039,Chennai DC,9,25380.81
SO000373,2025-09-26,P004,C001,Bengaluru DC,11,31020.99
SO000374,2025-10-01,P004,C016,Pune DC,8,22560.72
SO000375,2025-10-05,P004,C008,Bengaluru DC,6,16920.54
SO000376,2025-09-29,P004,C024,Pune DC,8,22560.72
SO000377,2025-10-06,P004,C016,Pune DC,16,45121.44
SO000378,2025-10-10,P004,C002,Pune DC,11,31020.99
SO000379,2025-10-13,P004,C013,Chennai DC,12,33841.08
SO000380,2025-10-18,P004,C030,Pune DC,10,28200.9
SO000381,2025-10-23,P004,C007,Bengaluru DC,10,28200.9
SO000382,2025-10-28,P004,C002,Pune DC,5,14100.45
SO000383,2025-10-27,P004,C002,Pune DC,1,2820.09
SO000384,2025-10-30,P004,C029,Chennai DC,2,5640.18
SO000385,2025-11-05,P004,C012,Bengaluru DC,3,8460.27
SO000386,2025-11-07,P004,C023,Bengaluru DC,9,25380.81
SO000387,2025-11-13,P004,C037,Chennai DC,6,16920.54
SO000388,2025-11-15,P004,C038,Chennai DC,5,14100.45
SO000389,2025-11-10,P004,C028,Bengaluru DC,5,14100.45
SO000390,2025-11-23,P004,C018,Pune DC,8,22560.72
SO000391,2025-11-22,P004,C024,Pune DC,9,25380.81
SO000392,2025-11-27,P004,C028,Bengaluru DC,6,16920.54
SO000393,2025-11-26,P004,C027,Chennai DC,7,19740.63
SO000394,2025-11-29,P004,C009,Bengaluru DC,4,11280.36
SO000395,2025-12-07,P004,C016,Pune DC,4,11280.36
SO000396,2025-12-04,P004,C022,Bengaluru DC,8,22560.72
SO000397,2025-12-07,P004,C029,Chennai DC,3,8460.27
SO000398,2025-12-08,P004,C005,Chennai DC,11,31020.99
SO000399,2025-12-12,P004,C016,Pune DC,4,11280.36
SO000400,2025-12-08,P004,C010,Pune DC,7,19740.63
SO000401,2025-12-20,P004,C018,Pune DC,28,78962.52
SO000402,2025-12-24,P004,C024,Pune DC,9,25380.81
SO000403,2025-12-23,P004,C029,Chennai DC,9,25380.81
SO000404,2025-12-27,P004,C019,Chennai DC,6,16920.54
SO000405,2026-01-01,P004,C003,Pune DC,24,67682.16
SO000406,2025-01-12,P005,C019,Chennai DC,123,342523.02
SO000407,2025-01-18,P005,C001,Bengaluru DC,53,147591.22
SO000408,2025-01-19,P005,C018,Pune DC,43,119743.82
SO000409,2025-01-13,P005,C025,Pune DC,30,83542.2
SO000410,2025-01-21,P005,C025,Pune DC,45,125313.3
SO000411,2025-01-25,P005,C023,Bengaluru DC,64,178223.36
SO000412,2025-01-27,P005,C031,Pune DC,55,153160.7
SO000413,2025-01-27,P005,C023,Bengaluru DC,52,144806.48
SO000414,2025-02-09,P005,C011,Chennai DC,63,175438.62
SO000415,2025-02-03,P005,C011,Chennai DC,78,217209.72
SO000416,2025-02-12,P005,C036,Pune DC,62,172653.88
SO000417,2025-02-12,P005,C019,Chennai DC,61,169869.14
SO000418,2025-02-18,P005,C013,Chennai DC,60,167084.4
SO000419,2025-02-18,P005,C010,Pune DC,68,189362.32
SO000420,2025-02-27,P005,C022,Bengaluru DC,34,94681.16
SO000421,2025-02-28,P005,C031,Pune DC,50,139237.0
SO000422,2025-03-01,P005,C036,Pune DC,39,108604.86
SO000423,2025-03-04,P005,C010,Pune DC,128,356446.72
SO000424,2025-03-10,P005,C010,Pune DC,120,334168.8
SO000425,2025-03-23,P005,C001,Bengaluru DC,47,130882.78
SO000426,2025-03-20,P005,C018,Pune DC,43,119743.82
SO000427,2025-03-21,P005,C001,Bengaluru DC,37,103035.38
SO000428,2025-03-25,P005,C002,Pune DC,46,128098.04
SO000429,2025-03-27,P005,C011,Chennai DC,44,122528.56
SO000430,2025-03-28,P005,C014,Bengaluru DC,59,164299.66
SO000431,2025-04-01,P005,C004,Pune DC,157,437204.18
SO000432,2025-04-12,P005,C022,Bengaluru DC,57,158730.18
SO000433,2025-04-09,P005,C024,Pune DC,72,200501.28
