inventory_id,product_id,warehouse,week_start_date,opening_stock,receipts,consumption,closing_stock,stockout_units
INV000067,P001,Pune DC,14-04-2025,58,0,11,47,0
INV000068,P001,Pune DC,21-04-2025,47,0,0,47,0
INV000069,P001,Pune DC,28-04-2025,47,35,47,35,0
INV000070,P001,Pune DC,05-05-2025,35,0,17,18,0
INV000071,P001,Pune DC,12-05-2025,18,32,5,45,0
INV000072,P001,Pune DC,19-05-2025,45,0,0,45,0
INV000073,P001,Pune DC,26-05-2025,45,0,0,45,0
INV000074,P001,Pune DC,02-06-2025,45,0,0,45,0
INV000075,P001,Pune DC,09-06-2025,45,0,24,21,0
INV000076,P001,Pune DC,16-06-2025,21,0,0,21,0
INV000077,P001,Pune DC,23-06-2025,21,44,35,30,0
INV000078,P001,Pune DC,30-06-2025,30,0,17,13,0
INV000079,P001,Pune DC,07-07-2025,13,0,34,0,21
INV000080,P001,Pune DC,14-07-2025,0,0,21,0,21
INV000081,P001,Pune DC,21-07-2025,0,0,11,0,11
INV000082,P001,Pune DC,28-07-2025,0,28,31,0,3
INV000083,P001,Pune DC,04-08-2025,0,0,0,0,0
INV000084,P001,Pune DC,11-08-2025,0,0,29,0,29
INV000085,P001,Pune DC,18-08-2025,0,0,0,0,0
INV000086,P001,Pune DC,25-08-2025,0,0,18,0,18
INV000087,P001,Pune DC,01-09-2025,0,27,26,1,0
INV000088,P001,Pune DC,08-09-2025,1,0,0,1,0
INV000089,P001,Pune DC,15-09-2025,1,0,0,1,0
INV000090,P001,Pune DC,22-09-2025,1,0,15,0,14
INV000091,P001,Pune DC,29-09-2025,0,0,0,0,0
INV000092,P001,Pune DC,06-10-2025,0,0,20,0,20
INV000093,P001,Pune DC,13-10-2025,0,38,0,38,0
INV000094,P001,Pune DC,20-10-2025,38,0,14,24,0
INV000095,P001,Pune DC,27-10-2025,24,0,29,0,5
INV000096,P001,Pune DC,03-11-2025,0,41,0,41,0
INV000097,P001,Pune DC,10-11-2025,41,0,13,28,0
INV000098,P001,Pune DC,17-11-2025,28,0,16,12,0
INV000099,P001,Pune DC,24-11-2025,12,0,12,0,0
INV000100,P001,Pune DC,01-12-2025,0,0,28,0,28
INV000101,P001,Pune DC,08-12-2025,0,36,12,24,0
INV000102,P001,Pune DC,15-12-2025,24,0,14,10,0
INV000103,P001,Pune DC,22-12-2025,10,0,13,0,3
INV000104,P001,Pune DC,29-12-2025,0,0,0,0,0
INV000105,P001,Chennai DC,06-01-2025,71,0,16,55,0
INV000106,P001,Chennai DC,13-01-2025,55,0,0,55,0
INV000107,P001,Chennai DC,20-01-2025,55,0,0,55,0
INV000108,P001,Chennai DC,27-01-2025,55,0,33,22,0
INV000109,P001,Chennai DC,03-02-2025,22,0,15,7,0
INV000110,P001,Chennai DC,10-02-2025,7,0,0,7,0
INV000111,P001,Chennai DC,17-02-2025,7,47,27,27,0
INV000112,P001,Chennai DC,24-02-2025,27,0,9,18,0
INV000113,P001,Chennai DC,03-03-2025,18,0,14,4,0
INV000114,P001,Chennai DC,10-03-2025,4,0,31,0,27
INV000115,P001,Chennai DC,17-03-2025,0,46,0,46,0
INV000116,P001,Chennai DC,24-03-2025,46,0,37,9,0
INV000117,P001,Chennai DC,31-03-2025,9,0,17,0,8
INV000118,P001,Chennai DC,07-04-2025,0,0,16,0,16
INV000119,P001,Chennai DC,14-04-2025,0,0,17,0,17
INV000120,P001,Chennai DC,21-04-2025,0,0,41,0,41
INV000121,P001,Chennai DC,28-04-2025,0,35,0,35,0
INV000122,P001,Chennai DC,05-05-2025,35,0,21,14,0
INV000123,P001,Chennai DC,12-05-2025,14,32,0,46,0
INV000124,P001,Chennai DC,19-05-2025,46,0,0,46,0
INV000125,P001,Chennai DC,26-05-2025,46,0,26,20,0
INV000126,P001,Chennai DC,02-06-2025,20,0,27,0,7
INV000127,P001,Chennai DC,09-06-2025,0,0,0,0,0
INV000128,P001,Chennai DC,16-06-2025,0,0,0,0,0
INV000129,P001,Chennai DC,23-06-2025,0,44,0,44,0
INV000130,P001,Chennai DC,30-06-2025,44,0,9,35,0
INV000131,P001,Chennai DC,07-07-2025,35,0,0,35,0
INV000132,P001,Chennai DC,14-07-2025,35,0,0,35,0
INV000133,P001,Chennai DC,21-07-2025,35,0,0,35,0
INV000134,P001,Chennai DC,28-07-2025,35,28,0,63,0
INV000135,P001,Chennai DC,04-08-2025,63,0,30,33,0
INV000136,P001,Chennai DC,11-08-2025,33,0,0,33,0
INV000137,P001,Chennai DC,18-08-2025,33,0,24,9,0
INV000138,P001,Chennai DC,25-08-2025,9,0,0,9,0
INV000139,P001,Chennai DC,01-09-2025,9,27,0,36,0
INV000140,P001,Chennai DC,08-09-2025,36,0,27,9,0
INV000141,P001,Chennai DC,15-09-2025,9,0,0,9,0
INV000142,P001,Chennai DC,22-09-2025,9,0,9,0,0
INV000143,P001,Chennai DC,29-09-2025,0,0,10,0,10
INV000144,P001,Chennai DC,06-10-2025,0,0,0,0,0
INV000145,P001,Chennai DC,13-10-2025,0,38,29,9,0
INV000146,P001,Chennai DC,20-10-2025,9,0,4,5,0
INV000147,P001,Chennai DC,27-10-2025,5,0,0,5,0
INV000148,P001,Chennai DC,03-11-2025,5,41,37,9,0
INV000149,P001,Chennai DC,10-11-2025,9,0,0,9,0
INV000150,P001,Chennai DC,17-11-2025,9,0,18,0,9
INV000151,P001,Chennai DC,24-11-2025,0,0,13,0,13
INV000152,P001,Chennai DC,01-12-2025,0,0,4,0,4
INV000153,P001,Chennai DC,08-12-2025,0,36,13,23,0
INV000154,P001,Chennai DC,15-12-2025,23,0,20,3,0
INV000155,P001,Chennai DC,22-12-2025,3,0,13,0,10
INV000156,P001,Chennai DC,29-12-2025,0,0,0,0,0
INV000157,P002,Bengaluru DC,06-01-2025,42,0,10,32,0
INV000158,P002,Bengaluru DC,13-01-2025,32,0,0,32,0
INV000159,P002,Bengaluru DC,20-01-2025,32,0,11,21,0
INV000160,P002,Bengaluru DC,27-01-2025,21,0,12,9,0
INV000161,P002,Bengaluru DC,03-02-2025,9,23,6,26,0
INV000162,P002,Bengaluru DC,10-02-2025,26,0,0,26,0
INV000163,P002,Bengaluru DC,17-02-2025,26,0,0,26,0
INV000164,P002,Bengaluru DC,24-02-2025,26,0,0,26,0
INV000165,P002,Bengaluru DC,03-03-2025,26,0,8,18,0
INV000166,P002,Bengaluru DC,10-03-2025,18,22,12,28,0
INV000167,P002,Bengaluru DC,17-03-2025,28,0,0,28,0
INV000168,P002,Bengaluru DC,24-03-2025,28,0,0,28,0
INV000169,P002,Bengaluru DC,31-03-2025,28,0,0,28,0
INV000170,P002,Bengaluru DC,07-04-2025,28,21,0,49,0
INV000171,P002,Bengaluru DC,14-04-2025,49,0,9,40,0
INV000172,P002,Bengaluru DC,21-04-2025,40,0,0,40,0
INV000173,P002,Bengaluru DC,28-04-2025,40,0,0,40,0
INV000174,P002,Bengaluru DC,05-05-2025,40,0,9,31,0
INV000175,P002,Bengaluru DC,12-05-2025,31,0,0,31,0
INV000176,P002,Bengaluru DC,19-05-2025,31,12,7,36,0
INV000177,P002,Bengaluru DC,26-05-2025,36,0,0,36,0
INV000178,P002,Bengaluru DC,02-06-2025,36,0,0,36,0
INV000179,P002,Bengaluru DC,09-06-2025,36,0,13,23,0
INV000180,P002,Bengaluru DC,16-06-2025,23,12,2,33,0
INV000181,P002,Bengaluru DC,23-06-2025,33,0,0,33,0
INV000182,P002,Bengaluru DC,30-06-2025,33,0,0,33,0
INV000183,P002,Bengaluru DC,07-07-2025,33,0,0,33,0
INV000184,P002,Bengaluru DC,14-07-2025,33,0,0,33,0
INV000185,P002,Bengaluru DC,21-07-2025,33,21,5,49,0
INV000186,P002,Bengaluru DC,28-07-2025,49,0,3,46,0
INV000187,P002,Bengaluru DC,04-08-2025,46,0,5,41,0
INV000188,P002,Bengaluru DC,11-08-2025,41,0,0,41,0
INV000189,P002,Bengaluru DC,18-08-2025,41,17,0,58,0
INV000190,P002,Bengaluru DC,25-08-2025,58,0,14,44,0
INV000191,P002,Bengaluru DC,01-09-2025,44,0,18,26,0
INV000192,P002,Bengaluru DC,08-09-2025,26,0,4,22,0
INV000193,P002,Bengaluru DC,15-09-2025,22,0,6,16,0
INV000194,P002,Bengaluru DC,22-09-2025,16,17,0,33,0
INV000195,P002,Bengaluru DC,29-09-2025,33,0,4,29,0
INV000196,P002,Bengaluru DC,06-10-2025,29,0,0,29,0
INV000197,P002,Bengaluru DC,13-10-2025,29,0,0,29,0
INV000198,P002,Bengaluru DC,20-10-2025,29,0,9,20,0
INV000199,P002,Bengaluru DC,27-10-2025,20,0,0,20,0
INV000200,P002,Bengaluru DC,03-11-2025,20,21,0,41,0
INV000201,P002,Bengaluru DC,10-11-2025,41,0,4,37,0
INV000202,P002,Bengaluru DC,17-11-2025,37,19,0,56,0
INV000203,P002,Bengaluru DC,24-11-2025,56,0,4,52,0
INV000204,P002,Bengaluru DC,01-12-2025,52,0,12,40,0
INV000205,P002,Bengaluru DC,08-12-2025,40,0,8,32,0
INV000206,P002,Bengaluru DC,15-12-2025,32,0,6,26,0
INV000207,P002,Bengaluru DC,22-12-2025,26,13,0,39,0
INV000208,P002,Bengaluru DC,29-12-2025,39,0,0,39,0
INV000209,P002,Pune DC,06-01-2025,42,0,0,42,0
INV000210,P002,Pune DC,13-01-2025,42,0,11,31,0
INV000211,P002,Pune DC,20-01-2025,31,0,0,31,0
INV000212,P002,Pune DC,27-01-2025,31,0,0,31,0
INV000213,P002,Pune DC,03-02-2025,31,23,3,51,0
INV000214,P002,Pune DC,10-02-2025,51,0,15,36,0
INV000215,P002,Pune DC,17-02-2025,36,0,14,22,0
INV000216,P002,Pune DC,24-02-2025,22,0,0,22,0
INV000217,P002,Pune DC,03-03-2025,22,0,11,11,0
INV000218,P002,Pune DC,10-03-2025,11,22,0,33,0
INV000219,P002,Pune DC,17-03-2025,33,0,0,33,0
INV000220,P002,Pune DC,24-03-2025,33,0,20,13,0
INV000221,P002,Pune DC,31-03-2025,13,0,4,9,0
INV000222,P002,Pune DC,07-04-2025,9,21,0,30,0
INV000223,P002,Pune DC,14-04-2025,30,0,0,30,0
INV000224,P002,Pune DC,21-04-2025,30,0,2,28,0
INV000225,P002,Pune DC,28-04-2025,28,0,20,8,0
INV000226,P002,Pune DC,05-05-2025,8,0,0,8,0
INV000227,P002,Pune DC,12-05-2025,8,0,17,0,9
INV000228,P002,Pune DC,19-05-2025,0,12,0,12,0
INV000229,P002,Pune DC,26-05-2025,12,0,12,0,0
INV000230,P002,Pune DC,02-06-2025,0,0,3,0,3
INV000231,P002,Pune DC,09-06-2025,0,0,0,0,0
INV000232,P002,Pune DC,16-06-2025,0,12,6,6,0
INV000233,P002,Pune DC,23-06-2025,6,0,12,0,6
INV000234,P002,Pune DC,30-06-2025,0,0,13,0,13
INV000235,P002,Pune DC,07-07-2025,0,0,13,0,13
INV000236,P002,Pune DC,14-07-2025,0,0,13,0,13
INV000237,P002,Pune DC,21-07-2025,0,21,0,21,0
INV000238,P002,Pune DC,28-07-2025,21,0,7,14,0
INV000239,P002,Pune DC,04-08-2025,14,0,0,14,0
INV000240,P002,Pune DC,11-08-2025,14,0,0,14,0
INV000241,P002,Pune DC,18-08-2025,14,17,11,20,0
INV000242,P002,Pune DC,25-08-2025,20,0,0,20,0
INV000243,P002,Pune DC,01-09-2025,20,0,0,20,0
INV000244,P002,Pune DC,08-09-2025,20,0,3,17,0
INV000245,P002,Pune DC,15-09-2025,17,0,0,17,0
INV000246,P002,Pune DC,22-09-2025,17,17,5,29,0
INV000247,P002,Pune DC,29-09-2025,29,0,0,29,0
INV000248,P002,Pune DC,06-10-2025,29,0,4,25,0
INV000249,P002,Pune DC,13-10-2025,25,0,0,25,0
INV000250,P002,Pune DC,20-10-2025,25,0,5,20,0
INV000251,P002,Pune DC,27-10-2025,20,0,5,15,0
INV000252,P002,Pune DC,03-11-2025,15,21,9,27,0
INV000253,P002,Pune DC,10-11-2025,27,0,4,23,0
INV000254,P002,Pune DC,17-11-2025,23,19,12,30,0
INV000255,P002,Pune DC,24-11-2025,30,0,5,25,0
INV000256,P002,Pune DC,01-12-2025,25,0,2,23,0
INV000257,P002,Pune DC,08-12-2025,23,0,0,23,0
INV000258,P002,Pune DC,15-12-2025,23,0,3,20,0
INV000259,P002,Pune DC,22-12-2025,20,13,9,24,0
INV000260,P002,Pune DC,29-12-2025,24,0,3,21,0
INV000261,P002,Chennai DC,06-01-2025,40,0,0,40,0
INV000262,P002,Chennai DC,13-01-2025,40,0,0,40,0
INV000263,P002,Chennai DC,20-01-2025,40,0,0,40,0
INV000264,P002,Chennai DC,27-01-2025,40,0,6,34,0
INV000265,P002,Chennai DC,03-02-2025,34,23,0,57,0
INV000266,P002,Chennai DC,10-02-2025,57,0,0,57,0
INV000267,P002,Chennai DC,17-02-2025,57,0,0,57,0
INV000268,P002,Chennai DC,24-02-2025,57,0,16,41,0
INV000269,P002,Chennai DC,03-03-2025,41,0,0,41,0
INV000270,P002,Chennai DC,10-03-2025,41,22,0,63,0
INV000271,P002,Chennai DC,17-03-2025,63,0,14,49,0
INV000272,P002,Chennai DC,24-03-2025,49,0,0,49,0
INV000273,P002,Chennai DC,31-03-2025,49,0,9,40,0
INV000274,P002,Chennai DC,07-04-2025,40,21,13,48,0
INV000275,P002,Chennai DC,14-04-2025,48,0,0,48,0
INV000276,P002,Chennai DC,21-04-2025,48,0,4,44,0
INV000277,P002,Chennai DC,28-04-2025,44,0,0,44,0
INV000278,P002,Chennai DC,05-05-2025,44,0,9,35,0
INV000279,P002,Chennai DC,12-05-2025,35,0,0,35,0
INV000280,P002,Chennai DC,19-05-2025,35,12,4,43,0
INV000281,P002,Chennai DC,26-05-2025,43,0,0,43,0
INV000282,P002,Chennai DC,02-06-2025,43,0,12,31,0
INV000283,P002,Chennai DC,09-06-2025,31,0,0,31,0
INV000284,P002,Chennai DC,16-06-2025,31,12,0,43,0
INV000285,P002,Chennai DC,23-06-2025,43,0,0,43,0
INV000286,P002,Chennai DC,30-06-2025,43,0,0,43,0
INV000287,P002,Chennai DC,07-07-2025,43,0,0,43,0
INV000288,P002,Chennai DC,14-07-2025,43,0,0,43,0
INV000289,P002,Chennai DC,21-07-2025,43,21,8,56,0
INV000290,P002,Chennai DC,28-07-2025,56,0,0,56,0
INV000291,P002,Chennai DC,04-08-2025,56,0,5,51,0
INV000292,P002,Chennai DC,11-08-2025,51,0,9,42,0
INV000293,P002,Chennai DC,18-08-2025,42,17,0,59,0
INV000294,P002,Chennai DC,25-08-2025,59,0,0,59,0
INV000295,P002,Chennai DC,01-09-2025,59,0,0,59,0
INV000296,P002,Chennai DC,08-09-2025,59,0,4,55,0
INV000297,P002,Chennai DC,15-09-2025,55,0,0,55,0
INV000298,P002,Chennai DC,22-09-2025,55,17,3,69,0
INV000299,P002,Chennai DC,29-09-2025,69,0,2,67,0
INV000300,P002,Chennai DC,06-10-2025,67,0,5,62,0
INV000301,P002,Chennai DC,13-10-2025,62,0,9,53,0
INV000302,P002,Chennai DC,20-10-2025,53,0,0,53,0
INV000303,P002,Chennai DC,27-10-2025,53,0,3,50,0
INV000304,P002,Chennai DC,03-11-2025,50,21,0,71,0
INV000305,P002,Chennai DC,10-11-2025,71,0,0,71,0
INV000306,P002,Chennai DC,17-11-2025,71,19,0,90,0
INV000307,P002,Chennai DC,24-11-2025,90,0,0,90,0
INV000308,P002,Chennai DC,01-12-2025,90,0,0,90,0
INV000309,P002,Chennai DC,08-12-2025,90,0,0,90,0
INV000310,P002,Chennai DC,15-12-2025,90,0,0,90,0
INV000311,P002,Chennai DC,22-12-2025,90,13,0,103,0
INV000312,P002,Chennai DC,29-12-2025,103,0,11,92,0
INV000313,P003,Bengaluru DC,06-01-2025,119,0,13,106,0
INV000314,P003,Bengaluru DC,13-01-2025,106,66,14,158,0
INV000315,P003,Bengaluru DC,20-01-2025,158,0,24,134,0
INV000316,P003,Bengaluru DC,27-01-2025,134,0,0,134,0
INV000317,P003,Bengaluru DC,03-02-2025,134,0,16,118,0
INV000318,P003,Bengaluru DC,10-02-2025,118,47,39,126,0
INV000319,P003,Bengaluru DC,17-02-2025,126,0,0,126,0
INV000320,P003,Bengaluru DC,24-02-2025,126,0,0,126,0
INV000321,P003,Bengaluru DC,03-03-2025,126,0,8,118,0
INV000322,P003,Bengaluru DC,10-03-2025,118,0,50,68,0
INV000323,P003,Bengaluru DC,17-03-2025,68,0,0,68,0
INV000324,P003,Bengaluru DC,24-03-2025,68,51,0,119,0
INV000325,P003,Bengaluru DC,31-03-2025,119,0,23,96,0
INV000326,P003,Bengaluru DC,07-04-2025,96,0,0,96,0
INV000327,P003,Bengaluru DC,14-04-2025,96,0,0,96,0
INV000328,P003,Bengaluru DC,21-04-2025,96,41,0,137,0
INV000329,P003,Bengaluru DC,28-04-2025,137,0,49,88,0
INV000330,P003,Bengaluru DC,05-05-2025,88,0,41,47,0
INV000331,P003,Bengaluru DC,12-05-2025,47,0,0,47,0
INV000332,P003,Bengaluru DC,19-05-2025,47,43,0,90,0
INV000333,P003,Bengaluru DC,26-05-2025,90,0,38,52,0
INV000334,P003,Bengaluru DC,02-06-2025,52,0,0,52,0
INV000335,P003,Bengaluru DC,09-06-2025,52,0,0,52,0
INV000336,P003,Bengaluru DC,16-06-2025,52,0,0,52,0
INV000337,P003,Bengaluru DC,23-06-2025,52,48,0,100,0
INV000338,P003,Bengaluru DC,30-06-2025,100,0,0,100,0
INV000339,P003,Bengaluru DC,07-07-2025,100,0,35,65,0
INV000340,P003,Bengaluru DC,14-07-2025,65,0,16,49,0
INV000341,P003,Bengaluru DC,21-07-2025,49,59,8,100,0
INV000342,P003,Bengaluru DC,28-07-2025,100,0,18,82,0
INV000343,P003,Bengaluru DC,04-08-2025,82,0,10,72,0
INV000344,P003,Bengaluru DC,11-08-2025,72,0,22,50,0
INV000345,P003,Bengaluru DC,18-08-2025,50,0,40,10,0
INV000346,P003,Bengaluru DC,25-08-2025,10,0,44,0,34
INV000347,P003,Bengaluru DC,01-09-2025,0,75,12,63,0
INV000348,P003,Bengaluru DC,08-09-2025,63,0,14,49,0
INV000349,P003,Bengaluru DC,15-09-2025,49,50,0,99,0
INV000350,P003,Bengaluru DC,22-09-2025,99,0,48,51,0
INV000351,P003,Bengaluru DC,29-09-2025,51,0,8,43,0
INV000352,P003,Bengaluru DC,06-10-2025,43,0,0,43,0
INV000353,P003,Bengaluru DC,13-10-2025,43,63,0,106,0
INV000354,P003,Bengaluru DC,20-10-2025,106,0,46,60,0
INV000355,P003,Bengaluru DC,27-10-2025,60,0,17,43,0
INV000356,P003,Bengaluru DC,03-11-2025,43,0,0,43,0
INV000357,P003,Bengaluru DC,10-11-2025,43,69,0,112,0
INV000358,P003,Bengaluru DC,17-11-2025,112,0,0,112,0
INV000359,P003,Bengaluru DC,24-11-2025,112,0,30,82,0
INV000360,P003,Bengaluru DC,01-12-2025,82,53,19,116,0
INV000361,P003,Bengaluru DC,08-12-2025,116,0,0,116,0
INV000362,P003,Bengaluru DC,15-12-2025,116,0,0,116,0
INV000363,P003,Bengaluru DC,22-12-2025,116,0,23,93,0
INV000364,P003,Bengaluru DC,29-12-2025,93,52,41,104,0
INV000365,P003,Pune DC,06-01-2025,116,0,25,91,0
INV000366,P003,Pune DC,13-01-2025,91,66,23,134,0
INV000367,P003,Pune DC,20-01-2025,134,0,20,114,0
INV000368,P003,Pune DC,27-01-2025,114,0,37,77,0
INV000369,P003,Pune DC,03-02-2025,77,0,9,68,0
INV000370,P003,Pune DC,10-02-2025,68,47,0,115,0
INV000371,P003,Pune DC,17-02-2025,115,0,0,115,0
INV000372,P003,Pune DC,24-02-2025,115,0,43,72,0
INV000373,P003,Pune DC,03-03-2025,72,0,12,60,0
INV000374,P003,Pune DC,10-03-2025,60,0,0,60,0
INV000375,P003,Pune DC,17-03-2025,60,0,33,27,0
INV000376,P003,Pune DC,24-03-2025,27,51,48,30,0
INV000377,P003,Pune DC,31-03-2025,30,0,0,30,0
INV000378,P003,Pune DC,07-04-2025,30,0,0,30,0
INV000379,P003,Pune DC,14-04-2025,30,0,0,30,0
INV000380,P003,Pune DC,21-04-2025,30,41,29,42,0
INV000381,P003,Pune DC,28-04-2025,42,0,0,42,0
INV000382,P003,Pune DC,05-05-2025,42,0,0,42,0
INV000383,P003,Pune DC,12-05-2025,42,0,34,8,0
INV000384,P003,Pune DC,19-05-2025,8,43,47,4,0
INV000385,P003,Pune DC,26-05-2025,4,0,0,4,0
INV000386,P003,Pune DC,02-06-2025,4,0,30,0,26
INV000387,P003,Pune DC,09-06-2025,0,0,33,0,33
INV000388,P003,Pune DC,16-06-2025,0,0,0,0,0
INV000389,P003,Pune DC,23-06-2025,0,48,0,48,0
INV000390,P003,Pune DC,30-06-2025,48,0,39,9,0
INV000391,P003,Pune DC,07-07-2025,9,0,0,9,0
INV000392,P003,Pune DC,14-07-2025,9,0,0,9,0
INV000393,P003,Pune DC,21-07-2025,9,59,41,27,0
INV000394,P003,Pune DC,28-07-2025,27,0,29,0,2
INV000395,P003,Pune DC,04-08-2025,0,0,9,0,9
INV000396,P003,Pune DC,11-08-2025,0,0,0,0,0
INV000397,P003,Pune DC,18-08-2025,0,0,0,0,0
INV000398,P003,Pune DC,25-08-2025,0,0,0,0,0
INV000399,P003,Pune DC,01-09-2025,0,75,11,64,0
INV000400,P003,Pune DC,08-09-2025,64,0,24,40,0
INV000401,P003,Pune DC,15-09-2025,40,50,0,90,0
INV000402,P003,Pune DC,22-09-2025,90,0,0,90,0
INV000403,P003,Pune DC,29-09-2025,90,0,7,83,0
INV000404,P003,Pune DC,06-10-2025,83,0,36,47,0
INV000405,P003,Pune DC,13-10-2025,47,63,42,68,0
INV000406,P003,Pune DC,20-10-2025,68,0,0,68,0
INV000407,P003,Pune DC,27-10-2025,68,0,18,50,0
INV000408,P003,Pune DC,03-11-2025,50,0,26,24,0
INV000409,P003,Pune DC,10-11-2025,24,69,0,93,0
INV000410,P003,Pune DC,17-11-2025,93,0,16,77,0
INV000411,P003,Pune DC,24-11-2025,77,0,20,57,0
INV000412,P003,Pune DC,01-12-2025,57,53,17,93,0
INV000413,P003,Pune DC,08-12-2025,93,0,18,75,0
INV000414,P003,Pune DC,15-12-2025,75,0,46,29,0
INV000415,P003,Pune DC,22-12-2025,29,0,30,0,1
INV000416,P003,Pune DC,29-12-2025,0,52,0,52,0
INV000417,P003,Chennai DC,06-01-2025,123,0,19,104,0
INV000418,P003,Chennai DC,13-01-2025,104,66,0,170,0
INV000419,P003,Chennai DC,20-01-2025,170,0,0,170,0
INV000420,P003,Chennai DC,27-01-2025,170,0,0,170,0
INV000421,P003,Chennai DC,03-02-2025,170,0,15,155,0
INV000422,P003,Chennai DC,10-02-2025,155,47,0,202,0
INV000423,P003,Chennai DC,17-02-2025,202,0,40,162,0
INV000424,P003,Chennai DC,24-02-2025,162,0,0,162,0
INV000425,P003,Chennai DC,03-03-2025,162,0,9,153,0
INV000426,P003,Chennai DC,10-03-2025,153,0,0,153,0
INV000427,P003,Chennai DC,17-03-2025,153,0,0,153,0
INV000428,P003,Chennai DC,24-03-2025,153,51,0,204,0
INV000429,P003,Chennai DC,31-03-2025,204,0,26,178,0
